//index text 
1 "Hihihih I'm Very Strong Monster"
2 "Hihihih I'm Very Strong Monster"
3 "Hihihih I'm Very Strong Monster"
4 "Hihihih I'm Very Strong Monster"
5 "Hihihih I'm Very Strong Monster"
6 "Hihihih I'm Very Strong Monster"
7 "Hihihih I'm Very Strong Monster"
8 "Hihihih I'm Very Strong Monster"
9 "Hihihih I'm Very Strong Monster"
10 "Hihihih I'm Very Strong Monster"
11 "Hihihih I'm Very Strong Monster"
12 "Hihihih I'm Very Strong Monster"
13 "Hihihih I'm Very Strong Monster"
14 "Hihihih I'm Very Strong Monster"
15 "Hihihih I'm Very Strong Monster"
16 "Hihihih I'm Very Strong Monster"
17 "Hihihih I'm Very Strong Monster"
18 "Hihihih I'm Very Strong Monster"
20 "Hihihih I'm Very Strong Monster"
21 "Hihihih I'm Very Strong Monster"
22 "Hihihih I'm Very Strong Monster"
23 "Hihihih I'm Very Strong Monster"
24 "Hihihih I'm Very Strong Monster"
25 "Hihihih I'm Very Strong Monster"
26 "Hihihih I'm Very Strong Monster"
27 "Hihihih I'm Very Strong Monster"
28 "Hihihih I'm Very Strong Monster"
29 "Hihihih I'm Very Strong Monster"
30 "Hihihih I'm Very Strong Monster"
31 "Hihihih I'm Very Strong Monster"
32 "Hihihih I'm Very Strong Monster"
33 "Hihihih I'm Very Strong Monster"
34 "Are You crazy !! You attack me"
35 "Are You crazy !! You attack me"
36 "Are You crazy !! You attack me"
37 "Are You crazy !! You attack me"
38 "Are You crazy !! You attack me"
39 "Are You crazy !! You attack me"
40 "Are You crazy !! You attack me"
41 "Are You crazy !! You attack me"
42 "Are You crazy !! You attack me"
43 "I'm Golden Moster You Are Dead"
44 "Are You crazy !! You attack me"
45 "Are You crazy !! You attack me"
46 "Are You crazy !! You attack me"
47 "Are You crazy !! You attack me"
48 "Are You crazy !! You attack me"
49 "Are You crazy !! You attack me"
50 "Are You crazy !! You attack me"
51 "Are You crazy !! You attack me"
52 "Are You crazy !! You attack me"
53 "I'm Golden Moster You Are Dead"
54 "I'm Golden Moster You Are Dead"
55 "Are You crazy !! You attack me"
56 "Are You crazy !! You attack me"
57 "Are You crazy !! You attack me"
58 "Are You crazy !! You attack me"
59 "Are You crazy !! You attack me"
60 "Are You crazy !! You attack me"
61 "Are You crazy !! You attack me"
62 "Are You crazy !! You attack me"
63 "Next time we do not approach"
64 "Next time we do not approach"
65 "Next time we do not approach"
66 "Next time we do not approach"
67 "Next time we do not approach"
68 "Next time we do not approach"
69 "Next time we do not approach"
70 "Next time we do not approach"
71 "Next time we do not approach"
72 "Next time we do not approach"
73 "Next time we do not approach"
74 "Next time we do not approach"
75 "Next time we do not approach"
76 "Next time we do not approach"
77 "Next time we do not approach"
78 "I'm Golden Moster You Are Dead"
79 "I'm Golden Moster You Are Dead"
80 "I'm Golden Moster You Are Dead"
81 "I'm Golden Moster You Are Dead"
82 "I'm Golden Moster You Are Dead"
83 "I'm Golden Moster You Are Dead"
84 "Now you will have a lesson"
85 "Now you will have a lesson"
86 "Now you will have a lesson"
87 "Now you will have a lesson"
88 "Now you will have a lesson"
89 "Now you will have a lesson"
90 "Now you will have a lesson"
91 "Now you will have a lesson"
92 "Now you will have a lesson"
93 "Now you will have a lesson"
94 "Now you will have a lesson"
95 "Now you will have a lesson"
96 "Now you will have a lesson"
97 "Now you will have a lesson"
98 "Now you will have a lesson"
99 "Now you will have a lesson"
100 "Now you will have a lesson"
101 "Now you will have a lesson"
102 "Now you will have a lesson"
103 "Now you will have a lesson"
104 "Now you will have a lesson"
105 "Now you will have a lesson"
106 "Now you will have a lesson"
107 "Now you will have a lesson"
108 "Now you will have a lesson"
109 "Now you will have a lesson"
110 "Now you will have a lesson"
111 "Now you will have a lesson"
112 "Now you will have a lesson"
113 "Now you will have a lesson"
114 "Now you will have a lesson"
115 "Now you will have a lesson"
116 "Now you will have a lesson"
117 "Now you will have a lesson"
118 "You Are Noob !!"
119 "You Are Noob !!"
120 "You Are Noob !!"
121 "You Are Noob !!"
122 "You Are Noob !!"
123 "You Are Noob !!"
124 "You Are Noob !!"
125 "You Are Noob !!"
126 "You Are Noob !!"
127 "You Are Noob !!"
128 "You Are Noob !!"
129 "You Are Noob !!"
130 "You Are Noob !!"
131 "You Are Noob !!"
132 "You Are Noob !!"
133 "You Are Noob !!"
134 "You Are Noob !!"
135 "You Are Noob !!"
136 "You Are Noob !!"
137 "You Are Noob !!"
138 "You Are Noob !!"
139 "You Are Noob !!"
140 "You Are Noob !!"
141 "You Are Noob !!"
142 "You Are Noob !!"
143 "You Are Noob !!"
144 "You Are Noob !!"
145 "You Are Noob !!"
146 "You Are Noob !!"
147 "You Are Noob !!"
148 "You Are Noob !!"
149 "You Are Noob !!"
150 "You Are Noob !!"
151 "Miss MIss , Come back later"
152 "Miss MIss , Come back later"
153 "Miss MIss , Come back later"
154 "Miss MIss , Come back later"
155 "Miss MIss , Come back later"
156 "Miss MIss , Come back later"
157 "Miss MIss , Come back later"
158 "Miss MIss , Come back later"
159 "Miss MIss , Come back later"
160 "Miss MIss , Come back later"
161 "Miss MIss , Come back later"
162 "Miss MIss , Come back later"
163 "Miss MIss , Come back later"
164 "Miss MIss , Come back later"
165 "Miss MIss , Come back later"
166 "Miss MIss , Come back later"
167 "Miss MIss , Come back later"
168 "Miss MIss , Come back later"
169 "Miss MIss , Come back later"
170 "Miss MIss , Come back later"
171 "Miss MIss , Come back later"
172 "Miss MIss , Come back later"
173 "Miss MIss , Come back later"
174 "Miss MIss , Come back later"
175 "Miss MIss , Come back later"
176 "Miss MIss , Come back later"
177 "Miss MIss , Come back later"
178 "Miss MIss , Come back later"
179 "Miss MIss , Come back later"
180 "Miss MIss , Come back later"
181 "Miss MIss , Come back later"
182 "Miss MIss , Come back later"
183 "Miss MIss , Come back later"
184 "Miss MIss , Come back later"
185 "Miss MIss , Come back later"
186 "Miss MIss , Come back later"
187 "Miss MIss , Come back later"
188 "Miss MIss , Come back later"
189 "Miss MIss , Come back later"
190 "Miss MIss , Come back later"
191 "I am the master and ruler"
192 "I am the master and ruler"
193 "I am the master and ruler"
194 "I am the master and ruler"
195 "I am the master and ruler"
196 "I am the master and ruler"
197 "I am the master and ruler"
198 "I am the master and ruler"
199 "I am the master and ruler"
200 "I am the master and ruler"
201 "Now you will have a lesson"
202 "Now you will have a lesson"
203 "Now you will have a lesson"
204 "Now you will have a lesson"
205 "Now you will have a lesson"
206 "Now you will have a lesson"
207 "Now you will have a lesson"
208 "Now you will have a lesson"
209 "Now you will have a lesson"
210 "Now you will have a lesson"
211 "Now you will have a lesson"
212 "Now you will have a lesson"
213 "Now you will have a lesson"
214 "Now you will have a lesson"
215 "Now you will have a lesson"
216 "Now you will have a lesson"
217 "Now you will have a lesson"
218 "You Are Noob !!"
219 "You Are Noob !!"
220 "You Are Noob !!"
221 "You Are Noob !!"
222 "You Are Noob !!"
223 "You Are Noob !!"
224 "You Are Noob !!"
225 "You Are Noob !!"
226 "You Are Noob !!"
227 "You Are Noob !!"
228 "You Are Noob !!"
229 "You Are Noob !!"
230 "You Are Noob !!"
231 "You Are Noob !!"
232 "You Are Noob !!"
233 "You Are Noob !!"
234 "You Are Noob !!"
235 "You Are Noob !!"
236 "You Are Noob !!"
237 "You Are Noob !!"
238 "You Are Noob !!"
239 "You Are Noob !!"
240 "You Are Noob !!"
241 "You Are Noob !!"
242 "You Are Noob !!"
243 "You Are Noob !!"
244 "You Are Noob !!"
245 "You Are Noob !!"
246 "You Are Noob !!"
247 "You Are Noob !!"
248 "You Are Noob !!"
249 "You Are Noob !!"
250 "You Are Noob !!"
251 "Miss MIss , Come back later"
252 "Miss MIss , Come back later"
253 "Miss MIss , Come back later"
254 "Miss MIss , Come back later"
255 "Miss MIss , Come back later"
256 "Miss MIss , Come back later"
257 "Miss MIss , Come back later"
258 "Miss MIss , Come back later"
259 "Miss MIss , Come back later"
260 "Miss MIss , Come back later"
261 "Miss MIss , Come back later"
262 "Miss MIss , Come back later"
263 "Miss MIss , Come back later"
264 "Miss MIss , Come back later"
265 "Miss MIss , Come back later"
266 "Miss MIss , Come back later"
267 "Miss MIss , Come back later"
268 "Miss MIss , Come back later"
269 "Miss MIss , Come back later"
270 "Miss MIss , Come back later"
271 "Miss MIss , Come back later"
272 "Miss MIss , Come back later"
