0
//WarningTime   NotifyTime   EventTime   CloseTime
5               1            15          4         
end

1
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     0      0        0
*        *       *     *     2      0        0
*        *       *     *     4      0        0
*        *       *     *     6      0        0
*        *       *     *     8      0        0
*        *       *     *     10     0        0
*        *       *     *     12     0        0
*        *       *     *     14     0        0
*        *       *     *     16     0        0
*        *       *     *     18     0        0
*        *       *     *     20     0        0
*        *       *     *     22     0        0
end

2
//Level   ExperienceTable1   ExperienceTable2
0         20000              5000
1         50000              10000
2         80000              15000
3         90000              20000
4         100000             25000
5         110000             30000
6         120000             35000
7         130000             40000
end

3
//Level   MoneyTable1   MoneyTable2
0         20000	        10000
1         50000	        25000
2         100000	50000
3         150000	80000
4         200000	100000
5         250000	120000
6         300000	140000
7         350000	160000
end

4
//Level   GateNpcLife   StatueNpcLife  
0	  65000	        150000
1	  105000	205000
2	  145000	260000
3	  185000	325000
4	  225000	400000
5	  265000	480000
6	  305000	565000
7	  345000	650000
end

//Reward 
5
//Level   	Cash	Gold	PcCoint 
0		0	0	0		
1		0	0	0
2		0	0	0
3		0	0	0
4		0	0	0
5		0	0	0
6		0	0	0
7		0	0	0
end
