0
//NotifyTime   EventTime   CloseTime
1              10          4         
end

1
//MonsterAIUnitNumber1   MonsterAIUnitNumber2   MonsterAIUnitNumber3   MonsterAIUnitNumber4
74                       75                     76                     77
end

2
//Index   Level1   Level2   Level3   Level4   Level5   MaxLife1   MaxLife2   MaxLife3   MaxLife4   MaxLife5   Damage1   Damage2   Damage3   Damage4   Damage5   Defense1   Defense2   Defense3   Defense4   Defense5
0         1.00     1.00     1.00     1.00     1.00     1.00       2.00       3.00       3.80       4.80       1.00      2.00      3.00      3.70      4.70      1.00       2.00       3.00       3.70       4.50
1         1.20     1.20     1.20     1.20     1.20     2.00       2.20       3.20       4.00       5.00       1.15      2.05      3.05      3.75      4.75      1.35       2.15       3.15       3.85       4.65
2         1.60     1.60     1.60     1.60     1.60     2.70       2.40       3.40       4.20       5.20       1.20      2.10      3.10      3.80      4.80      1.50       2.30       3.30       4.00       4.80
3         1.90     1.90     1.90     1.90     1.90     3.40       2.60       3.60       4.40       5.40       1.23      2.15      3.15      3.85      4.85      1.65       2.45       3.45       4.15       4.95
4         2.20     2.20     2.20     2.20     2.20     4.10       2.80       3.80       4.60       5.60       1.43      2.18      3.18      3.88      4.88      1.80       2.60       3.60       4.30       5.10
5         2.50     2.50     2.50     2.50     2.50     4.80       3.50       4.50       5.30       6.30       1.63      2.38      3.38      4.08      5.08      1.95       2.75       3.75       4.45       5.25
6         2.70     2.70     2.70     2.70     2.70     5.50       4.00       5.00       5.80       6.80       1.83      2.58      3.58      4.28      5.28      2.10       2.90       3.90       4.60       5.40
7         3.00     3.00     3.00     3.00     3.00     6.20       4.50       5.50       6.30       7.30       2.10      2.78      3.78      4.48      5.48      2.25       3.05       4.05       4.75       5.55
8         3.30     3.30     3.30     3.30     3.30     6.90       5.00       6.00       6.80       7.80       2.31      2.98      3.98      4.68      5.68      2.40       3.20       4.20       4.90       5.80
9         3.60     3.60     3.60     3.60     3.60     7.60       6.00       7.00       7.80       8.80       2.51      3.28      4.28      4.98      5.98      2.55       3.35       4.35       5.05       6.85
10        3.65     3.65     3.65     3.65     3.65     8.30       6.50       7.50       8.30       9.30       2.71      3.48      4.48      5.18      6.18      2.70       3.50       4.50       5.20       6.00
11        3.69     3.69     3.69     3.69     3.69     9.00       6.70       7.70       8.50       9.50       2.91      3.68      4.68      5.38      6.38      2.85       3.65       4.65       5.35       6.15
12        3.73     3.73     3.73     3.73     3.73     9.70       6.90       7.90       8.70       9.70       3.11      3.88      4.88      5.58      6.58      3.00       3.80       4.80       5.50       6.30
13        3.77     3.77     3.77     3.77     3.77     10.40      7.10       8.10       8.90       9.90       3.31      4.08      5.08      5.78      6.78      3.15       3.95       4.95       5.65       6.45
14        3.81     3.81     3.81     3.81     3.81     11.10      7.30       8.30       9.10       10.10      3.51      4.28      5.28      5.98      6.98      3.30       4.10       5.10       5.80       6.60
15        3.85     3.85     3.85     3.85     3.85     11.80      8.00       9.00       9.80       10.80      3.71      4.48      5.48      6.18      7.18      3.45       4.25       5.25       5.95       6.75
16        3.89     3.89     3.89     3.89     3.89     12.50      9.00       10.00      10.80      11.80      3.81      4.68      5.68      6.38      7.38      4.60       4.40       5.40       6.10       6.90
17        3.93     3.93     3.93     3.93     3.93     13.20      11.00      12.00      11.80      12.80      3.91      6.00      6.40      6.50      6.90      4.65       5.30       6.30       6.70       7.00
18        3.97     3.97     3.97     3.97     3.97     13.50      12.00      13.00      12.80      13.80      4.08      6.40      6.80      6.70      7.18      4.70       5.80       6.40       6.70       7.30
19        4.01     4.01     4.01     4.01     4.01     15.00      15.00      15.00      14.80      14.80      4.28      6.80      7.00      6.90      7.28      4.85       6.40       7.00       7.10       7.50
20        4.05     4.05     4.05     4.05     4.05     16.00      17.00      18.00      18.80      18.80      4.48      7.00      7.20      7.10      7.38      5.00       7.00       7.50       7.50       7.80
21        5.00     4.09     4.09     4.09     4.09     17.80      18.00      19.00      19.80      20.60      4.68      7.01      6.80      6.58      7.58      6.40       7.20       7.70       7.70       7.90
22        5.05     4.13     4.13     4.13     4.13     18.80      19.00      20.00      20.80      21.60      4.88      7.02      7.00      6.78      7.78      6.60       7.40       7.90       7.90       8.10
23        5.10     4.17     4.17     4.17     4.17     19.80      20.00      21.00      21.80      22.60      5.08      7.03      7.10      6.98      7.98      6.80       7.60       8.10       8.10       8.30
24        5.15     4.21     4.21     4.21     4.21     20.80      21.00      22.00      22.80      23.60      5.28      7.04      7.28      7.18      8.18      7.20       7.80       8.30       8.30       8.50
25        5.20     4.25     4.25     4.25     4.25     21.80      22.00      23.00      23.80      24.60      5.48      7.05      7.48      7.38      8.38      7.60       8.00       8.50       8.50       8.70
26        5.25     4.29     4.29     4.29     4.29     22.80      23.00      24.00      24.80      25.60      5.68      7.06      7.68      7.58      8.58      8.00       8.20       8.70       8.70       8.90
27        5.30     4.33     4.33     4.33     4.33     23.80      24.00      25.00      25.80      26.60      5.88      7.07      7.88      7.78      8.78      8.20       8.40       8.90       8.90       9.10
28        5.35     4.37     4.37     4.37     4.37     25.80      25.00      26.00      26.80      27.60      6.18      7.08      8.08      7.98      8.98      8.60       8.60       9.10       9.10       9.30
29        5.40     4.41     4.41     4.41     4.41     26.20      26.00      27.00      27.80      28.60      6.28      7.28      8.28      8.18      9.18      8.70       8.80       9.30       9.30       9.50
30        5.45     4.45     4.45     4.45     4.45     26.80      27.00      28.00      28.80      29.60      6.48      7.48      8.48      8.38      9.38      8.80       9.00       9.50       9.50       9.70
