0
//NotifyTime   EventTime   CloseTime
1              10          1         
end

1
//DefaultMonsterAIUnitNumber   SupportMonsterAIUnitNumber
72                             73
end

2
//Index   Level   MaxLife   DamageMin   DamageMax   Defense   AttackRate   DefenseRate
0         45      10.00     3.00        3.00        3.00      5.00         5.00
1         46      10.00     4.00        4.00        4.00      6.00         6.00
2         47      20.00     5.00        5.00        4.00      6.00         6.00
3         48      40.00     6.00        6.00        4.00      6.00         6.00
4         49      50.00     7.00        7.00        5.00      7.00         7.00
5         50      50.00     8.00        8.00        5.00      7.00         7.00
6         51      50.00     9.00        9.00        5.00      7.00         7.00
7         52      60.00     10.00       10.00       6.00      7.00         7.00
8         53      60.00     11.00       11.00       6.00      7.00         7.00
9         54      70.00     12.00       12.00       6.00      8.00         8.00
10        55      70.00     13.00       13.00       7.00      8.00         8.00
11        56      70.00     14.00       14.00       7.00      8.00         8.00
12        57      80.00     15.00       15.00       7.00      8.00         8.00
13        58      80.00     16.00       16.00       8.00      8.00         8.00
14        59      90.00     17.00       17.00       8.00      9.00         9.00
15        60      90.00     18.00       18.00       8.00      9.00         9.00
16        61      90.00     19.00       19.00       9.00      9.00         9.00
17        62      90.00     20.00       20.00       9.00      9.00         9.00
18        63      100.00    21.00       21.00       9.00      9.00         9.00
19        64      500.00    22.00       22.00       10.00     10.00        10.00
20        66      600.00    23.00       23.00       10.00     10.00        10.00
21        68      600.00    24.00       24.00       11.00     11.00        11.00
22        70      700.00    25.00       25.00       11.00     11.00        11.00
23        72      700.00    26.00       26.00       12.00     12.00        12.00
24        74      800.00    27.00       27.00       12.00     12.00        12.00
25        76      800.00    28.00       28.00       13.00     13.00        13.00
26        78      900.00    29.00       29.00       13.00     13.00        13.00
27        80      900.00    30.00       30.00       14.00     14.00        14.00
28        82      900.00    31.00       31.00       14.00     14.00        14.00
29        85      1000.00   32.00       32.00       15.00     15.00        15.00
30        87      1100.00   33.00       33.00       16.00     15.00        15.00
31        89      1200.00   34.00       34.00       17.00     16.00        16.00
32        91      1300.00   35.00       35.00       18.00     16.00        16.00
33        93      1400.00   36.00       36.00       19.00     17.00        17.00
34        95      1500.00   37.00       37.00       20.00     17.00        17.00
35        97      1500.00   38.00       38.00       21.00     18.00        18.00
36        99      1550.00   39.00       39.00       22.00     18.00        18.00
37        101     1600.00   40.00       40.00       23.00     19.00        19.00
38        103     1700.00   41.00       41.00       24.00     19.00        19.00
39        105     1800.00   42.00       42.00       25.00     20.00        20.00
40        107     1810.00   42.00       42.00       26.00     20.00        20.00
41        109     1820.00   43.00       43.00       27.00     21.00        21.00
42        111     1830.00   43.00       43.00       28.00     21.00        21.00
43        113     1840.00   44.00       44.00       29.00     22.00        22.00
44        115     1850.00   44.00       44.00       30.00     22.00        22.00
45        117     1860.00   45.00       45.00       31.00     23.00        23.00
46        119     1870.00   45.00       45.00       32.00     23.00        23.00
47        121     1880.00   46.00       46.00       33.00     24.00        24.00
48        123     1890.00   46.00       46.00       34.00     24.00        24.00
49        125     1900.00   47.00       47.00       35.00     25.00        25.00
50        127     1910.00   48.00       48.00       36.00     25.00        25.00
51        129     1920.00   48.00       48.00       37.00     26.00        26.00
52        131     1930.00   49.00       49.00       38.00     26.00        26.00
53        133     1940.00   49.00       49.00       39.00     27.00        27.00
54        135     1950.00   50.00       50.00       40.00     27.00        27.00
55        137     1960.00   50.00       50.00       41.00     28.00        28.00
56        139     1970.00   51.00       51.00       42.00     28.00        28.00
57        141     1980.00   51.00       51.00       43.00     29.00        29.00
58        143     1990.00   52.00       52.00       44.00     29.00        29.00
59        145     2000.00   53.00       53.00       45.00     30.00        30.00
end
