0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Skeleton King"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           0      5          5          0       0      0        0
0           2      5          5          0       0      0        0
0           4      5          5          0       0      0        0 
0           3      5          5          0       0      0        0 
1           1      5          5          0       0      0        0
1           2      5          5          0       0      0        0
2           0      5          5          0       0      0        0
2           1      5          5          0       0      0        0
3           2      5          5          0       0      0        0
4           8      5          5          0       0      0        0
4           1      5          5          0       0      0        0 
4           9      5          5          0       0      0        0 
5           0      5          5          0       0      0        0 
6           4      5          5          0       0      0        0
6           1      5          5          0       0      0        0
6           2      5          5          0       0      0        0 
7           5      5          5          0       0      0        0 
7           2      5          5          0       0      0        0
7           10     5          5          0       0      0        0
8           5      5          5          0       0      0        0
8           2      5          5          0       0      0        0
8           10     5          5          0       0      0        0
9           5      5          5          0       0      0        0 
9           2      5          5          0       0      0        0
9           10     5          5          0       0      0        0 
10          5      5          5          0       0      0        0 
10          2      5          5          0       0      0        0 
10          10     5          5          0       0      0        0 
11          5      5          5          0       0      0        0
11          2      5          5          0       0      0        0
11          10     5          5          0       0      0        0
13          0      0          0          0       0      0        0
13          1      0          0          0       0      0        0
13          2      0          0          0       0      0        0
13          8      0          0          0       0      2        0
13          9      0          0          0       0      2        0
13          12     0          0          0       0      2        0
13          13     0          0          0       0      2        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
