0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Star of Christmas"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           0      3          7          1       1      1        0
0           2      3          7          1       1      1        0
0           4      3          7          1       1      1        0
0           3      3          7          1       1      1        0
0           10     3          7          1       1      1        0
0           11     3          7          1       1      1        0
0           13     3          7          1       1      1        0
1           1      3          7          1       1      1        0
1           2      3          7          1       1      1        0
1           5      3          7          1       1      1        0
1           6      3          7          1       1      1        0
1           7      3          7          1       1      1        0
2           0      3          7          1       1      1        0
2           1      3          7          1       1      1        0
2           3      3          7          1       1      1        0
3           7      3          7          1       1      1        0
3           4      3          7          1       1      1        0
4           8      3          7          1       1      1        0
4           9      3          7          1       1      1        0
4           11     3          7          1       1      1        0
4           4      3          7          1       1      1        0
4           12     3          7          1       1      1        0
5           0      3          7          1       1      1        0
5           3      3          7          1       1      1        0
6           4      3          7          1       1      1        0
6           1      3          7          1       1      1        0
6           2      3          7          1       1      1        0
6           5      3          7          1       1      1        0
6           8      3          7          1       1      1        0
6           11     3          7          1       1      1        0
7           5      3          7          0       1      1        0
8           5      3          7          0       1      1        0
9           5      3          7          0       1      1        0
10          5      3          7          0       1      1        0
11          5      3          7          0       1      1        0
7           2      3          7          0       1      1        0
8           2      3          7          0       1      1        0
9           2      3          7          0       1      1        0
10          2      3          7          0       1      1        0
11          2      3          7          0       1      1        0
7           0      3          7          0       1      1        0
8           0      3          7          0       1      1        0
9           0      3          7          0       1      1        0
10          0      3          7          0       1      1        0
11          0      3          7          0       1      1        0
7           12     3          7          0       1      1        0
8           12     3          7          0       1      1        0
9           12     3          7          0       1      1        0
10          12     3          7          0       1      1        0
11          12     3          7          0       1      1        0
7           13     3          7          0       1      1        0
8           13     3          7          0       1      1        0
9           13     3          7          0       1      1        0
10          13     3          7          0       1      1        0
11          13     3          7          0       1      1        0
7           7      3          7          0       1      1        0
8           7      3          7          0       1      1        0
9           7      3          7          0       1      1        0
10          7      3          7          0       1      1        0
11          7      3          7          0       1      1        0
13          2      0          0          0       0      0        0
13          8      0          0          0       0      0        0
13          9      0          0          0       0      0        0
13          12     0          0          0       0      0        0
13          13     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
