0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
"Heart of Love"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           2      5          5          0       0      0        0
0           4      5          5          0       0      0        0
0           3      5          5          0       0      0        0
1           1      5          5          0       0      0        0
1           2      5          5          0       0      0        0 
2           0      5          5          0       0      0        0 
2           1      5          5          0       0      0        0 
4           8      5          5          0       0      0        0
4           9      5          5          0       0      0        0 
5           0      5          5          0       0      0        0 
6           4      5          5          0       0      0        0 
6           1      5          5          0       0      0        0
6           2      5          5          0       0      0        0 
0           10     5          5          0       0      0        0
0           11     5          5          0       0      0        0
0           13     5          5          0       0      0        0
1           5      5          5          0       0      0        0 
1           6      5          5          0       0      0        0
1           7      5          5          0       0      0        0
2           3      5          5          0       0      0        0 
3           7      5          5          0       0      0        0 
3           4      5          5          0       0      0        0 
4           11     5          5          0       0      0        0
4           4      5          5          0       0      0        0 
4           12     5          5          0       0      0        0 
5           3      5          5          0       0      0        0 
6           5      5          5          0       0      0        0
6           8      5          5          0       0      0        0 
7           5      5          5          0       0      0        0
8           5      5          5          0       0      0        0
9           5      5          5          0       0      0        0
10          5      5          5          0       0      0        0
11          5      5          5          0       0      0        0
7           2      5          5          0       0      0        0
8           2      5          5          0       0      0        0
9           2      5          5          0       0      0        0
10          2      5          5          0       0      0        0
11          2      5          5          0       0      0        0
7           0      5          5          0       0      0        0
8           0      5          5          0       0      0        0
9           0      5          5          0       0      0        0
10          0      5          5          0       0      0        0
11          0      5          5          0       0      0        0
7           12     5          5          0       0      0        0
8           12     5          5          0       0      0        0
9           12     5          5          0       0      0        0
10          12     5          5          0       0      0        0
11          12     5          5          0       0      0        0
7           13     5          5          0       0      0        0
8           13     5          5          0       0      0        0
9           13     5          5          0       0      0        0
10          13     5          5          0       0      0        0
11          13     5          5          0       0      0        0
7           7      5          5          0       0      0        0
8           7      5          5          0       0      0        0
9           7      5          5          0       0      0        0
10          7      5          5          0       0      0        0
11          7      5          5          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
