0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Silver Medal"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           10     3          3          0       0      0        0
0           11     3          3          0       0      0        0
0           13     3          3          0       0      0        0
1           7      3          3          0       0      0        0
2           3      3          3          0       0      0        0
3           0      3          3          0       0      0        0
3           4      3          3          0       0      0        0
4           11     3          3          0       0      0        0
4           3      3          3          0       0      0        0
5           2      3          3          0       0      0        0
5           3      3          3          0       0      0        0
6           6      3          3          0       0      0        0
6           5      3          3          0       0      0        0
7           6      3          3          0       0      0        0
8           6      3          3          0       0      0        0
9           6      3          3          0       0      0        0
10          6      3          3          0       0      0        0
11          6      3          3          0       0      0        0
7           8      3          3          0       0      0        0
8           8      3          3          0       0      0        0
9           8      3          3          0       0      0        0
10          8      3          3          0       0      0        0
11          8      3          3          0       0      0        0
7           4      3          3          0       0      0        0
8           4      3          3          0       0      0        0
9           4      3          3          0       0      0        0
10          4      3          3          0       0      0        0
11          4      3          3          0       0      0        0
13          0      0          0          0       0      0        0
13          1      0          0          0       0      0        0
13          2      0          0          0       0      0        0
13          8      0          0          0       0      0        0
13          9      0          0          0       0      0        0
13          12     0          0          0       0      0        0
13          13     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
