0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 3"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           16     6          9          0       0      0        0
0           18     6          9          0       0      0        0
0           24     6          9          0       0      0        0
4           17     6          9          0       0      0        0
4           22     6          9          0       0      0        0
4           19     6          9          0       0      0        0
5           13     6          9          0       0      0        0
2           12     6          9          0       0      0        0
5           17     6          9          0       0      0        0
5           23     6          9          0       0      0        0
7           21     6          9          0       0      0        0
8           21     6          9          0       0      0        0
9           21     6          9          0       0      0        0
10          21     6          9          0       0      0        0
11          21     6          9          0       0      0        0
7           22     6          9          0       0      0        0
8           22     6          9          0       0      0        0
9           22     6          9          0       0      0        0
10          22     6          9          0       0      0        0
11          22     6          9          0       0      0        0
7           24     6          9          0       0      0        0
8           24     6          9          0       0      0        0
9           24     6          9          0       0      0        0
10          24     6          9          0       0      0        0
11          24     6          9          0       0      0        0
8           23     6          9          0       0      0        0
9           23     6          9          0       0      0        0
10          23     6          9          0       0      0        0
11          23     6          9          0       0      0        0
7           23     6          9          0       0      0        0
8           38     6          9          0       0      0        0
9           38     6          9          0       0      0        0
10          38     6          9          0       0      0        0
11          38     6          9          0       0      0        0
7           42     6          9          0       0      0        0
8           42     6          9          0       0      0        0
9           42     6          9          0       0      0        0
10          42     6          9          0       0      0        0
11          42     6          9          0       0      0        0
0           16     0          0          1       1      1        1
0           17     0          0          1       1      1        1
0           18     0          0          1       1      1        1
4           17     0          0          1       1      1        1
5           9      0          0          1       1      1        1
2           15     0          0          1       1      1        1
5           17     0          0          1       1      1        1
5           22     0          0          1       1      1        1
7           17     0          0          1       1      1        1
8           17     0          0          1       1      1        1
9           17     0          0          1       1      1        1
10          17     0          0          1       1      1        1
11          17     0          0          1       1      1        1
7           18     0          0          1       1      1        1
8           18     0          0          1       1      1        1
9           18     0          0          1       1      1        1
10          18     0          0          1       1      1        1
11          18     0          0          1       1      1        1
7           19     0          0          1       1      1        1
8           19     0          0          1       1      1        1
9           19     0          0          1       1      1        1
10          19     0          0          1       1      1        1
11          19     0          0          1       1      1        1
8           20     0          0          1       1      1        1
9           20     0          0          1       1      1        1
10          20     0          0          1       1      1        1
11          20     0          0          1       1      1        1
7           27     0          0          1       1      1        1
8           27     0          0          1       1      1        1
9           27     0          0          1       1      1        1
10          27     0          0          1       1      1        1
11          27     0          0          1       1      1        1
7           41     0          0          1       1      1        1
8           41     0          0          1       1      1        1
9           41     0          0          1       1      1        1
10          41     0          0          1       1      1        1
11          41     0          0          1       1      1        1
6           13     0          0          1       1      1        1
6           16     0          0          1       1      1        1
6           15     0          0          1       1      1        1
13          8      0          0          0       0      0        1
13          9      0          0          0       0      0        1
13          12     0          0          0       0      0        1
13          13     0          0          0       0      0        1
13          25     0          0          0       0      0        1
13          26     0          0          0       0      0        1
13          27     0          0          0       0      0        1
13          22     0          0          0       0      0        1
13          23     0          0          0       0      0        1
13          21     0          0          0       0      0        1
13          24     0          0          0       0      0        1
13          28     0          0          0       0      0        1
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          19     3          5          0       0      0        0
13          18     4          6          0       0      0        0
14          28     3          5          0       0      0        0
13          51     1          2          0       0      0        0
end
