0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blue Heart"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
7           5      7          8          0       0      0        0
8           5      7          8          0       0      0        0 
9           5      7          8          0       0      0        0
10          5      7          8          0       0      0        0
11          5      7          8          0       0      0        0 
7           0      7          8          0       0      0        0
8           0      7          8          0       0      0        0
9           0      7          8          0       0      0        0 
10          0      7          8          0       0      0        0
11          0      7          8          0       0      0        0
7           6      7          8          0       0      0        0 
8           6      7          8          0       0      0        0 
9           6      7          8          0       0      0        0 
10          6      7          8          0       0      0        0 
11          6      7          8          0       0      0        0
7           8      7          8          0       0      0        0 
8           8      7          8          0       0      0        0 
9           8      7          8          0       0      0        0
10          8      7          8          0       0      0        0 
11          8      7          8          0       0      0        0
0           3      5          6          0       0      0        0
0           5      5          6          0       0      0        0
0           15     5          6          0       0      0        0 
7           2      7          8          0       0      0        0
8           2      7          8          0       0      0        0
9           2      7          8          0       0      0        0
10          2      7          8          0       0      0        0
11          2      7          8          0       0      0        0
7           4      7          8          0       0      0        0
8           4      7          8          0       0      0        0
9           4      7          8          0       0      0        0
10          4      7          8          0       0      0        0
11          4      7          8          0       0      0        0
7           7      7          8          0       0      0        0
8           7      7          8          0       0      0        0
9           7      7          8          0       0      0        0
10          7      7          8          0       0      0        0
11          7      7          8          0       0      0        0
5           0      5          6          0       0      0        0
5           1      5          6          0       0      0        0 
5           2      5          6          0       0      0        0
5           3      5          6          0       0      0        0 
7           10     7          8          0       0      0        0
8           10     7          8          0       0      0        0 
9           10     7          8          0       0      0        0
10          10     7          8          0       0      0        0
11          10     7          8          0       0      0        0
7           11     7          8          0       0      0        0
8           11     7          8          0       0      0        0 
9           11     7          8          0       0      0        0
10          11     7          8          0       0      0        0 
11          11     7          8          0       0      0        0 
7           12     7          8          0       0      0        0 
8           12     7          8          0       0      0        0
9           12     7          8          0       0      0        0
10          12     7          8          0       0      0        0 
11          12     7          8          0       0      0        0
4           2      5          6          0       0      0        0 
4           3      5          6          0       0      0        0 
4           4      5          6          0       0      0        0 
4           5      5          6          0       0      0        0 
7           25     7          8          0       0      0        0 
8           25     7          8          0       0      0        0
9           25     7          8          0       0      0        0 
10          25     7          8          0       0      0        0 
11          25     7          8          0       0      0        0
2           8      5          6          0       0      0        0
end
