0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Erohim"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     0          4          1       0      0        0
0           18     0          4          1       0      0        0
0           31     0          4          1       0      0        0
0           20     0          1          1       0      0        0
0           21     0          1          1       0      0        0
3           12     0          1          1       0      0        0
4           19     0          4          1       0      0        0
4           20     0          1          1       0      0        0
5           9      0          4          1       0      0        0
5           11     0          1          1       0      0        0
0           16     0          0          1       1      0        1
2           10     0          0          1       1      0        1
3           10     0          0          1       1      0        1
4           16     0          0          1       1      0        1
4           17     0          0          1       1      0        1
5           9      0          0          1       1      0        1
5           8      0          0          1       1      0        1
7           21     0          3          0       1      0        0
7           22     0          3          0       1      0        0
7           28     0          3          0       1      0        0
7           24     0          3          0       1      0        0
9           21     0          3          0       1      0        0
9           22     0          3          0       1      0        0
9           23     0          3          0       1      0        0
9           24     0          3          0       1      0        0
9           28     0          3          0       1      0        0
10          21     0          3          0       1      0        0
10          24     0          3          0       1      0        0
10          23     0          3          0       1      0        0
11          22     0          3          0       1      0        0
11          23     0          3          0       1      0        0
11          28     0          3          0       1      0        0
end
