0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Senior Mix"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     5          0          1       1      0        1
0           21     5          0          1       1      0        1
3           12     5          0          1       1      0        1
4           20     5          0          1       1      0        1
0           16     45         0          1       1      0        1
0           31     45         0          1       1      0        1
2           11     45         0          1       1      0        1
3           10     45         0          1       1      0        1
4           19     45         0          1       1      0        1
5           6      45         0          1       1      0        1
5           9      45         0          1       1      0        1
5           11     50         0          1       1      0        0
0           20     50         0          1       1      0        0
0           21     50         0          1       1      0        0
3           12     50         0          1       1      0        0
4           20     50         0          1       1      0        0
7           21     45         0          0       1      0        1
8           21     45         0          0       1      0        1
9           21     45         0          0       1      0        1
10          21     45         0          0       1      0        1
11          21     45         0          0       1      0        1
7           24     45         0          0       1      0        1
8           24     45         0          0       1      0        1
9           24     45         0          0       1      0        1
10          24     45         0          0       1      0        1
11          24     45         0          0       1      0        1
7           22     45         0          0       1      0        1
8           22     45         0          0       1      0        1
9           22     45         0          0       1      0        1
10          22     45         0          0       1      0        1
11          22     45         0          0       1      0        1
7           28     45         0          0       1      0        1
8           28     45         0          0       1      0        1
9           28     45         0          0       1      0        1
10          28     45         0          0       1      0        1
11          28     45         0          0       1      0        1
8           23     45         0          0       1      0        1
9           23     45         0          0       1      0        1
10          23     45         0          0       1      0        1
11          23     45         0          0       1      0        1
8           21     50         0          0       1      0        0
8           24     50         0          0       1      0        0
8           22     50         0          0       1      0        0
8           28     50         0          0       1      0        0
8           23     50         0          0       1      0        0
end
