0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Green Ribbon Box"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           14     4          6          1       1      1        0
4           13     4          6          1       1      1        0
5           5      4          6          1       1      1        0
7           1      4          6          0       1      1        0
8           1      4          6          0       1      1        0
9           1      4          6          0       1      1        0
10          1      4          6          0       1      1        0
11          1      4          6          0       1      1        0
7           14     4          6          0       1      1        0
8           14     4          6          0       1      1        0
9           14     4          6          0       1      1        0
10          14     4          6          0       1      1        0
11          14     4          6          0       1      1        0
7           3      4          6          0       1      1        0
8           3      4          6          0       1      1        0
9           3      4          6          0       1      1        0
10          3      4          6          0       1      1        0
11          3      4          6          0       1      1        0
7           34     3          5          0       1      1        0
8           34     3          5          0       1      1        0
9           34     3          5          0       1      1        0
10          34     3          5          0       1      1        0
11          34     3          5          0       1      1        0
7           35     3          5          0       1      1        0
8           35     3          5          0       1      1        0
9           35     3          5          0       1      1        0
10          35     3          5          0       1      1        0
11          35     3          5          0       1      1        0
7           36     3          5          0       1      1        0
8           36     3          5          0       1      1        0
9           36     3          5          0       1      1        0
10          36     3          5          0       1      1        0
11          36     3          5          0       1      1        0
8           15     3          5          0       1      1        0
9           15     3          5          0       1      1        0
10          15     3          5          0       1      1        0
11          15     3          5          0       1      1        0
7           26     3          5          0       1      1        0
8           26     3          5          0       1      1        0
9           26     3          5          0       1      1        0
10          26     3          5          0       1      1        0
11          26     3          5          0       1      1        0
6           13     4          6          1       1      1        0
6           14     4          6          1       1      1        0
0           5      0          0          1       1      1        1
2           3      0          0          1       1      1        1
2           8      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           12     0          0          1       1      1        1
5           2      0          0          1       1      1        1
7           5      0          0          0       1      1        1
8           5      0          0          0       1      1        1
9           5      0          0          0       1      1        1
10          5      0          0          0       1      1        1
11          5      0          0          0       1      1        1
7           7      0          0          0       1      1        1
8           7      0          0          0       1      1        1
9           7      0          0          0       1      1        1
10          7      0          0          0       1      1        1
11          7      0          0          0       1      1        1
7           12     0          0          0       1      1        1
8           12     0          0          0       1      1        1
9           12     0          0          0       1      1        1
10          12     0          0          0       1      1        1
11          12     0          0          0       1      1        1
6           11     0          0          1       1      1        1
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          19     3          4          0       0      0        0
13          18     4          5          0       0      0        0
13          51     2          3          0       0      0        0
end
