0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blue Chocolate Box"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           31     6          8          1       1      1        0
2           11     6          8          1       1      1        0
5           9      6          8          1       1      1        0
4           17     6          8          1       1      1        0
4           22     6          8          1       1      1        0
0           20     5          7          1       1      1        0
0           25     6          8          1       1      1        0
5           13     6          8          1       1      1        0
2           15     6          8          1       1      1        0
7           17     6          8          0       1      1        0
8           17     6          8          0       1      1        0
9           17     6          8          0       1      1        0
10          17     6          8          0       1      1        0
11          17     6          8          0       1      1        0
7           24     6          8          0       1      1        0
8           24     6          8          0       1      1        0
9           24     6          8          0       1      1        0
10          24     6          8          0       1      1        0
11          24     6          8          0       1      1        0
8           37     6          8          0       1      1        0
9           37     6          8          0       1      1        0
10          37     6          8          0       1      1        0
11          37     6          8          0       1      1        0
7           38     6          8          0       1      1        0
8           38     6          8          0       1      1        0
9           38     6          8          0       1      1        0
10          38     6          8          0       1      1        0
11          38     6          8          0       1      1        0
10          21     5          6          0       1      1        0
11          21     5          6          0       1      1        0
10          22     5          6          0       1      1        0
11          22     5          6          0       1      1        0
0           16     0          0          1       1      1        1
2           5      0          0          1       1      1        1
0           31     0          0          1       1      1        1
4           14     0          0          1       1      1        1
4           16     0          0          1       1      1        1
5           8      0          0          1       1      1        1
2           10     0          0          1       1      1        1
7           16     0          0          0       1      1        1
8           16     0          0          0       1      1        1
9           16     0          0          0       1      1        1
10          16     0          0          0       1      1        1
11          16     0          0          0       1      1        1
7           18     0          0          0       1      1        1
8           18     0          0          0       1      1        1
9           18     0          0          0       1      1        1
10          18     0          0          0       1      1        1
11          18     0          0          0       1      1        1
7           19     0          0          0       1      1        1
8           19     0          0          0       1      1        1
9           19     0          0          0       1      1        1
10          19     0          0          0       1      1        1
11          19     0          0          0       1      1        1
7           27     0          0          0       1      1        1
8           27     0          0          0       1      1        1
9           27     0          0          0       1      1        1
10          27     0          0          0       1      1        1
11          27     0          0          0       1      1        1
6           13     0          0          1       0      0        1
6           14     0          0          1       0      0        1
6           16     0          0          1       0      0        1
6           15     0          0          1       0      0        1
13          8      0          0          0       0      0        1
13          9      0          0          0       0      0        1
13          21     0          0          0       0      0        1
13          12     0          0          0       0      0        1
13          13     0          0          0       0      0        1
13          25     0          0          0       0      0        1
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
12          15     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          19     5          6          0       0      0        0
13          18     6          7          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          5          0       0      0        0
end
