0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Red Candy Box"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           13     6          9          1       1      1        0
0           14     6          9          1       1      1        0
0           12     6          9          1       1      1        0
1           8      6          9          1       1      1        0
2           4      6          9          1       1      1        0
3           9      6          9          1       1      1        0
4           5      6          9          1       1      1        0
4           13     6          9          1       1      1        0
5           5      6          9          1       1      1        0
5           6      6          9          1       1      1        0
2           9      6          9          1       1      1        0
2           5      6          9          1       1      1        0
4           14     6          9          1       1      1        0
2           10     6          9          1       1      1        0
7           34     6          9          0       1      1        0
8           34     6          9          0       1      1        0
9           34     6          9          0       1      1        0
10          34     6          9          0       1      1        0
11          34     6          9          0       1      1        0
7           35     6          9          0       1      1        0
8           35     6          9          0       1      1        0
9           35     6          9          0       1      1        0
10          35     6          9          0       1      1        0
11          35     6          9          0       1      1        0
7           36     6          9          0       1      1        0
8           36     6          9          0       1      1        0
9           36     6          9          0       1      1        0
10          36     6          9          0       1      1        0
11          36     6          9          0       1      1        0
7           26     6          9          0       1      1        0
8           26     6          9          0       1      1        0
9           26     6          9          0       1      1        0
10          26     6          9          0       1      1        0
11          26     6          9          0       1      1        0
8           15     6          9          0       1      1        0
9           15     6          9          0       1      1        0
10          15     6          9          0       1      1        0
11          15     6          9          0       1      1        0
7           16     6          8          0       1      1        0
8           16     6          8          0       1      1        0
9           16     6          8          0       1      1        0
10          16     6          8          0       1      1        0
11          16     6          8          0       1      1        0
7           18     6          8          0       1      1        0
8           18     6          8          0       1      1        0
9           18     6          8          0       1      1        0
10          18     6          8          0       1      1        0
11          18     6          8          0       1      1        0
7           19     6          8          0       1      1        0
8           19     6          8          0       1      1        0
9           19     6          8          0       1      1        0
10          19     6          8          0       1      1        0
11          19     6          8          0       1      1        0
8           20     6          8          0       1      1        0
9           20     6          8          0       1      1        0
10          20     6          8          0       1      1        0
11          20     6          8          0       1      1        0
7           1      6          9          0       1      1        0
8           1      6          9          0       1      1        0
9           1      6          9          0       1      1        0
10          1      6          9          0       1      1        0
11          1      6          9          0       1      1        0
7           14     6          9          0       1      1        0
8           14     6          9          0       1      1        0
9           14     6          9          0       1      1        0
10          14     6          9          0       1      1        0
11          14     6          9          0       1      1        0
7           3      6          9          0       1      1        0
8           3      6          9          0       1      1        0
9           3      6          9          0       1      1        0
10          3      6          9          0       1      1        0
11          3      6          9          0       1      1        0
6           12     6          9          1       1      1        0
6           11     6          9          1       1      1        0
6           13     6          9          1       1      1        0
6           14     6          9          1       1      1        0
0           13     0          0          1       1      1        1
0           14     0          0          1       1      1        1
5           2      0          0          1       1      1        1
1           8      0          0          1       1      1        1
2           3      0          0          1       1      1        1
2           4      0          0          1       1      1        1
3           8      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           12     0          0          1       1      1        1
4           13     0          0          1       1      1        1
5           3      0          0          1       1      1        1
5           6      0          0          1       1      1        1
2           8      0          0          1       1      1        1
2           9      0          0          1       1      1        1
7           1      0          0          0       1      1        1
8           1      0          0          0       1      1        1
9           1      0          0          0       1      1        1
10          1      0          0          0       1      1        1
11          1      0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          14     0          0          0       1      1        1
7           3      0          0          0       1      1        1
8           3      0          0          0       1      1        1
9           3      0          0          0       1      1        1
10          3      0          0          0       1      1        1
11          3      0          0          0       1      1        1
7           25     0          0          0       1      1        1
8           25     0          0          0       1      1        1
9           25     0          0          0       1      1        1
10          25     0          0          0       1      1        1
11          25     0          0          0       1      1        1
7           9      0          0          0       1      1        1
8           9      0          0          0       1      1        1
9           9      0          0          0       1      1        1
10          9      0          0          0       1      1        1
11          9      0          0          0       1      1        1
7           26     0          0          0       1      1        1
8           26     0          0          0       1      1        1
9           26     0          0          0       1      1        1
10          26     0          0          0       1      1        1
11          26     0          0          0       1      1        1
6           12     0          0          1       0      0        1
6           11     0          0          1       0      0        1
6           13     0          0          1       0      0        1
6           14     0          0          1       0      0        1
13          8      0          0          0       0      0        1
13          9      0          0          0       0      0        1
13          12     0          0          0       0      0        1
13          13     0          0          0       0      0        1
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          19     4          5          0       0      0        0
13          18     5          6          0       0      0        0
14          28     5          7          0       0      0        0
13          51     2          3          0       0      0        0
end
