0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Dark Elf"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     3          5          1       1      1        0
0           18     3          5          1       1      1        0
2           12     3          5          1       1      1        0
4           19     3          5          1       1      1        0
5           9      3          5          1       1      1        0
6           13     3          5          1       1      1        0
6           16     3          5          1       1      1        0
5           6      0          0          1       1      1        1
2           4      0          0          1       1      1        1
2           9      0          0          1       1      1        1
4           14     0          0          1       1      1        1
2           5      0          0          1       1      1        1
7           1      0          0          0       1      1        1
7           3      0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           1      0          0          0       1      1        1
8           3      0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           1      0          0          0       1      1        1
9           3      0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          1      0          0          0       1      1        1
10          3      0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          1      0          0          0       1      1        1
11          3      0          0          0       1      1        1
11          14     0          0          0       1      1        1
13          36     0          0          0       0      0        0
13          18     4          6          0       0      0        0
14          19     4          5          0       0      0        0
14          28     4          6          0       0      0        0
end
