0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Balgass"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           16     0          0          1       1      1        1
2           10     0          0          1       1      1        1
3           10     0          0          1       1      1        1
4           16     0          0          1       1      1        1
4           17     0          0          1       1      1        1
5           8      0          0          1       1      1        1
5           9      0          0          1       1      1        1
7           21     3          5          0       1      1        0
7           22     3          5          0       1      1        0
7           24     3          5          0       1      1        0
7           28     3          5          0       1      1        0
8           21     3          5          0       1      1        0
8           22     3          5          0       1      1        0
8           23     3          5          0       1      1        0
8           24     3          5          0       1      1        0
8           28     3          5          0       1      1        0
9           21     3          5          0       1      1        0
9           22     3          5          0       1      1        0
9           23     3          5          0       1      1        0
9           24     3          5          0       1      1        0
9           28     3          5          0       1      1        0
10          21     3          5          0       1      1        0
10          22     3          5          0       1      1        0
10          23     3          5          0       1      1        0
10          24     3          5          0       1      1        0
10          28     3          5          0       1      1        0
11          21     3          5          0       1      1        0
11          22     3          5          0       1      1        0
11          23     3          5          0       1      1        0
11          24     3          5          0       1      1        0
11          28     3          5          0       1      1        0
7           16     0          0          0       1      1        1
7           18     0          0          0       1      1        1
7           19     0          0          0       1      1        1
7           27     0          0          0       1      1        1
8           16     0          0          0       1      1        1
8           18     0          0          0       1      1        1
8           19     0          0          0       1      1        1
8           27     0          0          0       1      1        1
8           20     0          0          0       1      1        1
9           16     0          0          0       1      1        1
9           18     0          0          0       1      1        1
9           19     0          0          0       1      1        1
9           27     0          0          0       1      1        1
9           20     0          0          0       1      1        1
10          16     0          0          0       1      1        1
10          18     0          0          0       1      1        1
10          19     0          0          0       1      1        1
10          27     0          0          0       1      1        1
10          20     0          0          0       1      1        1
11          16     0          0          0       1      1        1
11          18     0          0          0       1      1        1
11          19     0          0          0       1      1        1
11          27     0          0          0       1      1        1
11          20     0          0          0       1      1        1
end
