0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Maya Hand Right"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     4          6          1       1      1        0
0           18     4          6          1       1      1        0
2           11     4          6          1       1      1        0
4           19     4          6          1       1      1        0
5           9      4          6          1       1      1        0
0           14     0          0          1       0      0        1
5           5      0          0          1       0      0        1
4           14     0          0          1       0      0        1
4           16     0          0          1       0      0        1
2           9      0          0          1       0      0        1
2           4      0          0          1       0      0        1
2           5      0          0          1       0      0        1
6           15     4          6          1       0      1        0
6           12     0          0          1       0      0        1
6           16     0          0          1       0      0        1
7           34     4          6          0       1      1        0
9           34     4          6          0       1      1        0
10          34     4          6          0       1      1        0
11          34     4          6          0       1      1        0
7           35     4          6          0       1      1        0
9           35     4          6          0       1      1        0
10          35     4          6          0       1      1        0
11          35     4          6          0       1      1        0
7           36     4          6          0       1      1        0
9           36     4          6          0       1      1        0
10          36     4          6          0       1      1        0
11          36     4          6          0       1      1        0
9           37     4          6          0       1      1        0
10          37     4          6          0       1      1        0
11          37     4          6          0       1      1        0
7           38     4          6          0       1      1        0
9           38     4          6          0       1      1        0
10          38     4          6          0       1      1        0
11          38     4          6          0       1      1        0
8           17     4          6          0       1      1        0
9           17     4          6          0       1      1        0
8           18     4          6          0       1      1        0
9           18     4          6          0       1      1        0
8           19     4          6          0       1      1        0
9           19     4          6          0       1      1        0
8           20     4          6          0       1      1        0
9           20     4          6          0       1      1        0
8           27     4          6          0       1      1        0
9           27     4          6          0       1      1        0
7           16     0          0          0       0      0        1
9           16     0          0          0       0      0        1
10          16     0          0          0       0      0        1
11          16     0          0          0       0      0        1
10          17     0          0          0       0      0        1
11          17     0          0          0       0      0        1
9           3      0          0          0       0      0        1
8           3      0          0          0       0      0        1
10          18     0          0          0       0      0        1
11          18     0          0          0       0      0        1
8           14     0          0          0       0      0        1
9           14     0          0          0       0      0        1
10          19     0          0          0       0      0        1
11          19     0          0          0       0      0        1
10          15     0          0          0       0      0        1
11          15     0          0          0       0      0        1
10          26     0          0          0       0      0        1
9           26     0          0          0       0      0        1
11          26     0          0          0       0      0        1
14          19     4          5          0       0      0        0
13          18     5          6          0       0      0        0
14          28     6          7          0       0      0        0
end
