0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Nightmare"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     5          7          1       1      1        0
0           21     5          7          1       1      1        0
4           20     5          7          1       1      1        0
2           12     5          7          1       1      1        0
5           11     5          7          1       1      1        0
0           16     0          0          1       0      0        1
3           10     0          0          1       0      0        1
5           6      0          0          1       0      0        1
5           9      0          0          1       0      0        1
2           10     0          0          1       0      0        1
0           31     0          0          1       0      0        1
0           20     0          0          1       0      0        1
2           12     0          0          1       0      0        1
4           20     0          0          1       0      0        1
6           13     0          0          1       0      0        1
6           16     0          0          1       0      0        1
8           34     5          7          0       1      1        0
8           35     5          7          0       1      1        0
8           36     5          7          0       1      1        0
8           37     5          7          0       1      1        0
8           38     5          7          0       1      1        0
8           29     5          7          0       1      1        0
8           30     5          7          0       1      1        0
8           31     5          7          0       1      1        0
8           32     5          7          0       1      1        0
8           33     5          7          0       1      1        0
7           21     5          7          0       1      1        0
8           21     5          7          0       1      1        0
9           21     5          7          0       1      1        0
7           22     5          7          0       1      1        0
8           22     5          7          0       1      1        0
9           22     5          7          0       1      1        0
7           24     5          7          0       1      1        0
8           24     5          7          0       1      1        0
9           24     5          7          0       1      1        0
8           23     5          7          0       1      1        0
9           23     5          7          0       1      1        0
10          23     5          7          0       1      1        0
11          23     5          7          0       1      1        0
7           27     5          7          0       1      1        0
8           27     5          7          0       1      1        0
9           27     5          7          0       1      1        0
8           16     0          0          0       0      0        1
7           17     0          0          0       0      0        1
8           17     0          0          0       0      0        1
9           17     0          0          0       0      0        1
7           18     0          0          0       0      0        1
8           18     0          0          0       0      0        1
9           18     0          0          0       0      0        1
7           19     0          0          0       0      0        1
8           19     0          0          0       0      0        1
9           19     0          0          0       0      0        1
8           15     0          0          0       0      0        1
9           15     0          0          0       0      0        1
7           26     0          0          0       0      0        1
8           26     0          0          0       0      0        1
10          21     0          0          0       0      0        1
11          21     0          0          0       0      0        1
10          22     0          0          0       0      0        1
11          22     0          0          0       0      0        1
10          24     0          0          0       0      0        1
11          24     0          0          0       0      0        1
10          20     0          0          0       0      0        1
11          20     0          0          0       0      0        1
10          27     0          0          0       0      0        1
11          27     0          0          0       0      0        1
14          19     6          6          0       0      0        0
13          18     6          7          0       0      0        0
14          28     6          7          0       0      0        0
end
