0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Fortune Pouch"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           9      0          0          1       1      1        1
0           10     0          0          1       1      1        1
0           11     0          0          1       1      1        1
0           12     0          0          1       1      1        1
0           15     0          0          1       1      1        1
1           5      0          0          1       1      1        1
1           6      0          0          1       1      1        1
1           7      0          0          1       1      1        1
1           8      0          0          1       1      1        1
2           3      0          0          1       1      1        1
2           4      0          0          1       1      1        1
2           5      0          0          1       1      1        1
3           0      0          0          1       1      1        1
3           1      0          0          1       1      1        1
3           2      0          0          1       1      1        1
3           3      0          0          1       1      1        1
3           4      0          0          1       1      1        1
3           5      0          0          1       1      1        1
3           6      0          0          1       1      1        1
3           7      0          0          1       1      1        1
3           8      0          0          1       1      1        1
6           11     0          0          1       1      1        1
6           12     0          0          1       1      1        1
6           13     0          0          1       1      1        1
6           14     0          0          1       1      1        1
4           3      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           5      0          0          1       1      1        1
4           11     0          0          1       1      1        1
4           12     0          0          1       1      1        1
4           13     0          0          1       1      1        1
4           14     0          0          1       1      1        1
5           3      0          0          0       1      1        1
5           4      0          0          0       1      1        1
7           0      0          0          0       1      1        1
8           0      0          0          0       1      1        1
9           0      0          0          0       1      1        1
10          0      0          0          0       1      1        1
11          0      0          0          0       1      1        1
7           2      0          0          0       1      1        1
8           2      0          0          0       1      1        1
9           2      0          0          0       1      1        1
10          2      0          0          0       1      1        1
11          2      0          0          0       1      1        1
7           4      0          0          0       1      1        1
8           4      0          0          0       1      1        1
9           4      0          0          0       1      1        1
10          4      0          0          0       1      1        1
11          4      0          0          0       1      1        1
7           5      0          0          0       1      1        1
8           5      0          0          0       1      1        1
9           5      0          0          0       1      1        1
10          5      0          0          0       1      1        1
11          5      0          0          0       1      1        1
7           6      0          0          0       1      1        1
8           6      0          0          0       1      1        1
9           6      0          0          0       1      1        1
10          6      0          0          0       1      1        1
11          6      0          0          0       1      1        1
7           7      0          0          0       1      1        1
8           7      0          0          0       1      1        1
9           7      0          0          0       1      1        1
10          7      0          0          0       1      1        1
11          7      0          0          0       1      1        1
7           8      0          0          0       1      1        1
8           8      0          0          0       1      1        1
9           8      0          0          0       1      1        1
10          8      0          0          0       1      1        1
11          8      0          0          0       1      1        1
7           9      0          0          0       1      1        1
8           9      0          0          0       1      1        1
9           9      0          0          0       1      1        1
10          9      0          0          0       1      1        1
11          9      0          0          0       1      1        1
7           13     0          0          0       1      1        1
8           13     0          0          0       1      1        1
9           13     0          0          0       1      1        1
10          13     0          0          0       1      1        1
11          13     0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          14     0          0          0       1      1        1
13          14     0          0          0       0      0        0
13          52     0          0          0       0      0        0
13          53     0          0          0       0      0        0
end
