0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Green Mistery Box"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
7           6      6          9          0       1      1        0
8           6      6          9          0       1      1        0
9           6      6          9          0       1      1        0
10          6      6          9          0       1      1        0
11          6      6          9          0       1      1        0
7           11     6          9          0       1      1        0
8           11     6          9          0       1      1        0
9           11     6          9          0       1      1        0
10          11     6          9          0       1      1        0
11          11     6          9          0       1      1        0
7           4      6          9          0       1      1        0
8           4      6          9          0       1      1        0
9           4      6          9          0       1      1        0
10          4      6          9          0       1      1        0
11          4      6          9          0       1      1        0
7           8      6          9          0       1      1        0
8           8      6          9          0       1      1        0
9           8      6          9          0       1      1        0
10          8      6          9          0       1      1        0
11          8      6          9          0       1      1        0
7           12     6          9          0       1      1        0
8           12     6          9          0       1      1        0
9           12     6          9          0       1      1        0
10          12     6          9          0       1      1        0
11          12     6          9          0       1      1        0
7           7      6          9          0       1      1        0
8           7      6          9          0       1      1        0
9           7      6          9          0       1      1        0
10          7      6          9          0       1      1        0
11          7      6          9          0       1      1        0
7           39     6          9          0       1      1        0
8           39     6          9          0       1      1        0
9           39     6          9          0       1      1        0
10          39     6          9          0       1      1        0
11          39     6          9          0       1      1        0
0           7      6          9          1       1      1        0
0           9      6          9          1       1      1        0
0           5      6          9          1       1      1        0
0           11     6          9          1       1      1        0
1           3      6          9          1       1      1        0
4           9      6          9          1       1      1        0
4           11     6          9          1       1      1        0
4           4      6          9          1       1      1        0
4           12     6          9          1       1      1        0
5           1      6          9          1       1      1        0
5           2      6          9          1       1      1        0
5           3      6          9          1       1      1        0
5           14     6          9          1       1      1        0
6           9      6          9          1       1      1        0
6           11     6          9          1       1      1        0
6           3      6          9          1       1      1        0
6           6      6          9          1       1      1        0
6           5      6          9          1       1      1        0
14          19     1          2          0       0      0        0
13          18     1          3          0       0      0        0
end
