0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
"Pink Mistery Box"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           14     6          9          1       1      1        0
2           5      6          9          1       1      1        0
3           9      6          9          1       1      1        0
4           5      6          9          1       1      1        0
4           13     6          9          1       1      1        0
2           9      6          9          1       1      1        0
5           5      6          9          1       1      1        0
5           15     6          9          1       1      1        0
7           9      6          9          0       1      1        0
8           9      6          9          0       1      1        0
9           9      6          9          0       1      1        0
10          9      6          9          0       1      1        0
11          9      6          9          0       1      1        0
7           13     6          9          0       1      1        0
8           13     6          9          0       1      1        0
9           13     6          9          0       1      1        0
10          13     6          9          0       1      1        0
11          13     6          9          0       1      1        0
7           25     6          9          0       1      1        0
8           25     6          9          0       1      1        0
9           25     6          9          0       1      1        0
10          25     6          9          0       1      1        0
11          25     6          9          0       1      1        0
7           1      6          9          0       1      1        0
8           1      6          9          0       1      1        0
9           1      6          9          0       1      1        0
10          1      6          9          0       1      1        0
11          1      6          9          0       1      1        0
7           14     6          9          0       1      1        0
8           14     6          9          0       1      1        0
9           14     6          9          0       1      1        0
10          14     6          9          0       1      1        0
11          14     6          9          0       1      1        0
7           3      6          9          0       1      1        0
8           3      6          9          0       1      1        0
9           3      6          9          0       1      1        0
10          3      6          9          0       1      1        0
11          3      6          9          0       1      1        0
7           40     6          9          0       1      1        0
8           40     6          9          0       1      1        0
9           40     6          9          0       1      1        0
10          40     6          9          0       1      1        0
11          40     6          9          0       1      1        0
7           26     6          9          0       1      1        0
8           26     6          9          0       1      1        0
9           26     6          9          0       1      1        0
10          26     6          9          0       1      1        0
7           34     6          9          0       1      1        0
8           34     6          9          0       1      1        0
9           34     6          9          0       1      1        0
10          34     6          9          0       1      1        0
11          34     6          9          0       1      1        0
7           35     6          9          0       1      1        0
8           35     6          9          0       1      1        0
9           35     6          9          0       1      1        0
10          35     6          9          0       1      1        0
11          35     6          9          0       1      1        0
7           36     6          9          0       1      1        0
8           36     6          9          0       1      1        0
9           36     6          9          0       1      1        0
10          36     6          9          0       1      1        0
11          36     6          9          0       1      1        0
7           41     6          9          0       1      1        0
8           41     6          9          0       1      1        0
9           41     6          9          0       1      1        0
10          41     6          9          0       1      1        0
11          41     6          9          0       1      1        0
8           15     6          9          0       1      1        0
9           15     6          9          0       1      1        0
10          15     6          9          0       1      1        0
11          15     6          9          0       1      1        0
6           14     6          9          1       1      1        0
6           12     6          9          1       1      1        0
6           13     6          9          1       1      1        0
5           2      0          0          1       1      1        1
5           3      0          0          1       1      1        1
1           3      0          0          1       1      1        1
0           5      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           12     0          0          1       1      1        1
2           8      0          0          1       1      1        1
0           11     0          0          1       1      1        1
5           14     0          0          1       1      1        1
7           9      0          0          0       1      1        1
8           9      0          0          0       1      1        1
9           9      0          0          0       1      1        1
10          9      0          0          0       1      1        1
11          9      0          0          0       1      1        1
7           13     0          0          0       1      1        1
8           13     0          0          0       1      1        1
9           13     0          0          0       1      1        1
10          13     0          0          0       1      1        1
11          13     0          0          0       1      1        1
7           25     0          0          0       1      1        1
8           25     0          0          0       1      1        1
9           25     0          0          0       1      1        1
10          25     0          0          0       1      1        1
11          25     0          0          0       1      1        1
7           1      0          0          0       1      1        1
8           1      0          0          0       1      1        1
9           1      0          0          0       1      1        1
10          1      0          0          0       1      1        1
11          1      0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          14     0          0          0       1      1        1
7           3      0          0          0       1      1        1
8           3      0          0          0       1      1        1
9           3      0          0          0       1      1        1
10          3      0          0          0       1      1        1
11          3      0          0          0       1      1        1
7           40     0          0          0       1      1        1
8           40     0          0          0       1      1        1
9           40     0          0          0       1      1        1
10          40     0          0          0       1      1        1
11          40     0          0          0       1      1        1
6           5      0          0          1       1      1        1
6           11     0          0          1       1      1        1
6           12     0          0          1       1      1        1
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          19     3          4          0       0      0        0
13          18     4          5          0       0      0        0
13          51     1          2          0       0      0        0
end
