0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Cherry Blossom Mix 3"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
13          15     0          0          0       0      0        0
13          15     1          1          0       0      0        0
13          15     2          2          0       0      0        0
13          15     3          3          0       0      0        0
13          15     4          4          0       0      0        0
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          41     0          0          0       0      0        0
14          42     0          0          0       0      0        0
12          30     2          2          0       0      0        0
12          31     2          2          0       0      0        0
end
