0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Fire Flame Ghost"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
5           2      0          0          1       0      0        1
5           3      0          0          1       0      0        1
1           3      0          0          1       0      0        1
0           5      0          0          1       0      0        1
4           4      0          0          1       0      0        1
4           12     0          0          1       0      0        1
2           8      0          0          1       0      0        1
7           6      0          0          0       0      0        1
8           6      0          0          0       0      0        1
9           6      0          0          0       0      0        1
10          6      0          0          0       0      0        1
11          6      0          0          0       0      0        1
7           7      0          0          0       0      0        1
8           7      0          0          0       0      0        1
9           7      0          0          0       0      0        1
10          7      0          0          0       0      0        1
11          7      0          0          0       0      0        1
7           12     0          0          0       0      0        1
8           12     0          0          0       0      0        1
9           12     0          0          0       0      0        1
10          12     0          0          0       0      0        1
11          12     0          0          0       0      0        1
6           5      0          0          1       0      0        1
6           11     0          0          1       0      0        1
7           39     9          10         0       1      1        0
8           39     9          10         0       1      1        0
9           39     9          10         0       1      1        0
10          39     9          10         0       1      1        0
11          39     9          10         0       1      1        0
7           40     9          10         0       1      1        0
8           40     9          10         0       1      1        0
9           40     9          10         0       1      1        0
10          40     9          10         0       1      1        0
11          40     9          10         0       1      1        0
5           14     9          10         1       1      1        0
5           15     9          10         1       1      1        0
5           16     9          10         1       1      1        0
7           39     10         11         0       1      1        0
8           39     10         11         0       1      1        0
9           39     10         11         0       1      1        0
10          39     10         11         0       1      1        0
11          39     10         11         0       1      1        0
7           40     10         11         0       1      1        0
8           40     10         11         0       1      1        0
9           40     10         11         0       1      1        0
10          40     10         11         0       1      1        0
11          40     10         11         0       1      1        0
5           14     10         11         1       1      1        0
5           15     10         11         1       1      1        0
5           16     10         11         1       1      1        0
5           5      0          0          1       0      0        1
4           14     0          0          1       0      0        1
2           5      0          0          1       0      0        1
0           14     0          0          1       0      0        1
2           9      0          0          1       0      0        1
7           1      0          0          0       0      0        1
10          1      0          0          0       0      0        1
11          1      0          0          0       0      0        1
7           14     0          0          0       0      0        1
10          14     0          0          0       0      0        1
11          14     0          0          0       0      0        1
7           3      0          0          0       0      0        1
8           3      0          0          0       0      0        1
10          3      0          0          0       0      0        1
7           26     0          0          0       0      0        1
10          26     0          0          0       0      0        1
11          26     0          0          0       0      0        1
6           13     0          0          1       0      0        1
6           14     0          0          1       0      0        1
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          13     0          0          0       0      0        0
end
