0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Santa Claus"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0
13          0      0          0          0       0      0        0
13          1      0          0          0       0      0        0
13          68     0          0          0       0      0        0
14          99     0          0          0       0      0        0
14          19     5          6          0       0      0        0
13          18     6          7          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          5          0       0      0        0
13          67     0          0          0       0      0        0
13          41     0          0          0       0      0        0
end
