0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Lucky Coin 3"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           16     5          7          1       1      1        0
0           17     5          7          1       1      1        0
0           18     5          7          1       1      1        0
0           31     5          7          1       1      1        0
2           11     5          7          1       1      1        0
3           10     5          7          1       1      1        0
4           17     5          7          1       1      1        0
5           8      5          7          0       1      1        0
5           9      5          7          0       1      1        0
5           17     5          7          0       1      1        0
5           22     5          7          1       1      1        0
7           16     5          7          0       1      1        0
8           16     5          7          0       1      1        0
9           16     5          7          0       1      1        0
10          16     5          7          0       1      1        0
11          16     5          7          0       1      1        0
7           17     5          7          0       1      1        0
8           17     5          7          0       1      1        0
9           17     5          7          0       1      1        0
10          17     5          7          0       1      1        0
11          17     5          7          0       1      1        0
7           18     5          7          0       1      1        0
8           18     5          7          0       1      1        0
9           18     5          7          0       1      1        0
10          18     5          7          0       1      1        0
11          18     5          7          0       1      1        0
7           19     5          7          0       1      1        0
8           19     5          7          0       1      1        0
9           19     5          7          0       1      1        0
10          19     5          7          0       1      1        0
11          19     5          7          0       1      1        0
7           27     5          7          0       1      1        0
8           27     5          7          0       1      1        0
9           27     5          7          0       1      1        0
10          27     5          7          0       1      1        0
11          27     5          7          0       1      1        0
0           13     0          0          1       1      1        1
2           10     0          0          1       1      1        1
2           9      0          0          1       1      1        1
2           7      0          0          1       1      1        1
3           9      0          0          1       1      1        1
4           14     0          0          1       1      1        1
4           16     0          0          1       1      1        1
5           16     0          0          0       1      1        1
5           21     0          0          1       1      1        1
7           1      0          0          1       1      1        1
8           1      0          0          1       1      1        1
9           1      0          0          1       1      1        1
10          1      0          0          1       1      1        1
11          1      0          0          1       1      1        1
7           14     0          0          1       1      1        1
8           14     0          0          1       1      1        1
9           14     0          0          1       1      1        1
10          14     0          0          1       1      1        1
11          14     0          0          1       1      1        1
7           3      0          0          1       1      1        1
8           3      0          0          1       1      1        1
9           3      0          0          1       1      1        1
10          3      0          0          1       1      1        1
11          3      0          0          1       1      1        1
8           15     0          0          1       1      1        1
9           15     0          0          1       1      1        1
10          15     0          0          1       1      1        1
11          15     0          0          1       1      1        1
7           26     0          0          1       1      1        1
8           26     0          0          1       1      1        1
9           26     0          0          1       1      1        1
10          26     0          0          1       1      1        1
11          26     0          0          1       1      1        1
7           34     0          0          1       1      1        1
8           34     0          0          1       1      1        1
9           34     0          0          1       1      1        1
10          34     0          0          1       1      1        1
11          34     0          0          1       1      1        1
7           35     0          0          1       1      1        1
8           35     0          0          1       1      1        1
9           35     0          0          1       1      1        1
10          35     0          0          1       1      1        1
11          35     0          0          1       1      1        1
7           36     0          0          1       1      1        1
8           36     0          0          1       1      1        1
9           36     0          0          1       1      1        1
10          36     0          0          1       1      1        1
11          36     0          0          1       1      1        1
8           37     0          0          1       1      1        1
9           37     0          0          1       1      1        1
10          37     0          0          1       1      1        1
11          37     0          0          1       1      1        1
7           34     0          0          1       1      1        1
8           34     0          0          1       1      1        1
9           34     0          0          1       1      1        1
10          34     0          0          1       1      1        1
11          34     0          0          1       1      1        1
7           35     0          0          1       1      1        1
8           35     0          0          1       1      1        1
9           35     0          0          1       1      1        1
10          35     0          0          1       1      1        1
11          35     0          0          1       1      1        1
7           36     0          0          1       1      1        1
8           36     0          0          1       1      1        1
9           36     0          0          1       1      1        1
10          36     0          0          1       1      1        1
11          36     0          0          1       1      1        1
7           38     0          0          1       1      1        1
8           38     0          0          1       1      1        1
9           38     0          0          1       1      1        1
10          38     0          0          1       1      1        1
11          38     0          0          1       1      1        1
7           40     0          0          1       1      1        1
8           40     0          0          1       1      1        1
9           40     0          0          1       1      1        1
10          40     0          0          1       1      1        1
11          40     0          0          1       1      1        1
6           13     0          0          1       1      1        1
6           14     0          0          1       1      1        1
6           16     0          0          1       1      1        1
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          16     0          0          0       0      0        0
12          100    0          5          0       0      0        0
12          101    0          4          0       0      0        0
12          102    0          4          0       0      0        0
12          103    0          5          0       0      0        0
12          104    0          3          0       0      0        0
12          105    2          2          0       0      0        0
13          39     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
