0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Chaos Card Mix 1"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
5           14     0          0          0       1      1        1
5           15     0          0          0       1      1        1
0           0      0          0          0       1      1        1
0           5      0          0          0       1      1        1
0           13     0          0          1       1      1        1
0           14     0          0          1       1      1        1
0           10     0          0          1       1      1        1
0           11     0          0          1       1      1        1
0           15     0          0          1       1      1        1
0           12     0          0          1       1      1        1
1           3      0          0          1       1      1        1
1           6      0          0          1       1      1        1
1           7      0          0          1       1      1        1
1           8      0          0          1       1      1        1
2           1      0          0          1       1      1        1
2           2      0          0          1       1      1        1
2           3      0          0          1       1      1        1
2           4      0          0          1       1      1        1
3           1      0          0          1       1      1        1
3           3      0          0          1       1      1        1
3           7      0          0          1       1      1        1
3           0      0          0          1       1      1        1
3           4      0          0          1       1      1        1
3           8      0          0          1       1      1        1
4           0      0          0          1       1      1        1
4           3      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           5      0          0          1       1      1        1
4           9      0          0          1       1      1        1
4           11     0          0          1       1      1        1
4           12     0          0          1       1      1        1
5           3      0          0          1       1      1        1
5           4      0          0          1       1      1        1
5           5      0          0          1       1      1        1
2           8      0          0          1       1      1        1
2           9      0          0          1       1      1        1
2           10     0          0          1       1      1        1
2           11     0          0          1       1      1        1
6           0      0          0          0       1      1        1
6           1      0          0          0       1      1        1
6           2      0          0          1       1      1        1
6           3      0          0          1       1      1        1
6           4      0          0          1       1      1        1
6           5      0          0          1       1      1        1
6           6      0          0          1       1      1        1
6           7      0          0          1       1      1        1
6           8      0          0          1       1      1        1
6           9      0          0          1       1      1        1
6           10     0          0          1       1      1        1
6           11     0          0          1       1      1        1
7           5      0          0          0       1      1        1
8           5      0          0          0       1      1        1
9           5      0          0          0       1      1        1
10          5      0          0          0       1      1        1
11          5      0          0          0       1      1        1
7           0      0          0          0       1      1        1
8           0      0          0          0       1      1        1
9           0      0          0          0       1      1        1
10          0      0          0          0       1      1        1
11          0      0          0          0       1      1        1
7           8      0          0          0       1      1        1
8           8      0          0          0       1      1        1
9           8      0          0          0       1      1        1
10          8      0          0          0       1      1        1
11          8      0          0          0       1      1        1
7           9      0          0          0       1      1        1
8           9      0          0          0       1      1        1
9           9      0          0          0       1      1        1
10          9      0          0          0       1      1        1
11          9      0          0          0       1      1        1
7           1      0          0          0       1      1        1
8           1      0          0          0       1      1        1
9           1      0          0          0       1      1        1
10          1      0          0          0       1      1        1
11          1      0          0          0       1      1        1
7           2      0          0          0       1      1        1
8           2      0          0          0       1      1        1
9           2      0          0          0       1      1        1
10          2      0          0          0       1      1        1
11          2      0          0          0       1      1        1
7           4      0          0          0       1      1        1
8           4      0          0          0       1      1        1
9           4      0          0          0       1      1        1
10          4      0          0          0       1      1        1
11          4      0          0          0       1      1        1
7           7      0          0          0       1      1        1
8           7      0          0          0       1      1        1
9           7      0          0          0       1      1        1
10          7      0          0          0       1      1        1
11          7      0          0          0       1      1        1
7           3      0          0          0       1      1        1
8           3      0          0          0       1      1        1
9           3      0          0          0       1      1        1
10          3      0          0          0       1      1        1
11          3      0          0          0       1      1        1
7           10     0          0          0       1      1        1
8           10     0          0          0       1      1        1
9           10     0          0          0       1      1        1
10          10     0          0          0       1      1        1
11          10     0          0          0       1      1        1
7           11     0          0          0       1      1        1
8           11     0          0          0       1      1        1
9           11     0          0          0       1      1        1
10          11     0          0          0       1      1        1
11          11     0          0          0       1      1        1
7           12     0          0          0       1      1        1
8           12     0          0          0       1      1        1
9           12     0          0          0       1      1        1
10          12     0          0          0       1      1        1
11          12     0          0          0       1      1        1
7           13     0          0          0       1      1        1
8           13     0          0          0       1      1        1
9           13     0          0          0       1      1        1
10          13     0          0          0       1      1        1
11          13     0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          14     0          0          0       1      1        1
7           25     0          0          0       1      1        1
8           25     0          0          0       1      1        1
9           25     0          0          0       1      1        1
10          25     0          0          0       1      1        1
11          25     0          0          0       1      1        1
7           26     0          0          0       1      1        1
8           26     0          0          0       1      1        1
9           26     0          0          0       1      1        1
10          26     0          0          0       1      1        1
11          26     0          0          0       1      1        1
7           39     0          0          0       1      1        1
8           39     0          0          0       1      1        1
9           39     0          0          0       1      1        1
10          39     0          0          0       1      1        1
11          39     0          0          0       1      1        1
13          8      0          0          0       1      1        1
13          9      0          0          0       1      1        1
13          12     0          0          0       1      1        1
13          13     0          0          0       1      1        1
13          3      0          0          0       0      0        0
end
