0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Online Lottery"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
end
