//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
0         0             0             0000           2559           1             *             *             *               //General Weapon
0         0             0             2580           2589           *             *             *             *               //General Book
0         0             0             3072           3583           1             *             *             *               //General Shield
0         49            0             6659           6659           *             *             *             *               //Dinorant
0         62            0             6660           6660           *             *             *             *               //Dark Horse
0         76            0             6693           6693           *             *             *             *               //Fenrir
1         84            5             0000           2559           *             1             *             *               //General Weapon
1         84            5             2560           2579           *             1             *             *               //General Staff
1         84            5             2580           2589           *             1             *             *               //General Book
1         84            5             2590           3071           *             1             *             *               //General Staff
1         84            5             3072           3583           *             1             *             *               //General Shield
1         84            5             3584           6143           *             1             *             *               //General Armor
1         84            5             6144           6144           *             1             *             *               //Wings of Fairy
1         84            5             6145           6145           *             1             *             *               //Wings of Angel
1         84            5             6146           6146           *             1             *             *               //Wings of Satan
1         84            5             6147           6147           *             1             *             *               //Wings of Spirit
1         84            5             6148           6148           *             1             *             *               //Wings of Soul
1         84            5             6149           6149           *             1             *             *               //Wings of Devil
1         84            5             6150           6150           *             1             *             *               //Wings of Darkness
1         84            5             6180           6180           *             1             *             *               //Wings of Storm
1         84            5             6181           6181           *             1             *             *               //Wings of Space Time
1         84            5             6182           6182           *             1             *             *               //Wings of Illusion
1         84            5             6183           6183           *             1             *             *               //Wings of Hurricane
1         84            5             6184           6184           *             1             *             *               //Mantle of Monarch
1         84            5             6185           6185           *             1             *             *               //Wings of Misery
1         84            5             6186           6186           *             1             *             *               //Wings of Despair
1         84            5             6187           6187           *             1             *             *               //Wings of Violent Wind
1         84            5             6193           6193           *             1             *             *               //Cloak of Fighter
1         84            5             6194           6194           *             1             *             *               //Mantle of Warrior
1         84            5             6686           6686           *             1             *             *               //Cape of Lord
1         84            5             6406           6406           *             1             *             *               //Cloak of Death
1         84            5             6407           6407           *             1             *             *               //Wings of Chaos
1         84            5             6408           6408           *             1             *             *               //Wings of Magic
1         84            5             6409           6409           *             1             *             *               //Wings of Life
1         84            5             6410           6410           *             1             *             *               //Wings of Conqueror
1         84            5             6411           6411           *             1             *             *               //Wings of Angel and Devil
2         80            4             0000           2559           *             *             1             *               //General Weapon
2         81            4             2560           2579           *             *             1             *               //General Staff
2         113           4             2580           2589           *             *             1             *               //General Book
2         81            4             2590           3071           *             *             1             *               //General Staff
2         82            5             3072           3583           *             *             1             *               //General Shield
2         83            4             3584           6143           *             *             1             *               //General Armor
2         85            1             6144           6144           *             *             1             *               //Wings of Fairy
2         81            4             6145           6145           *             *             1             *               //Wings of Angel
2         80            4             6146           6146           *             *             1             *               //Wings of Satan
2         80            4             6147           6147           *             *             1             *               //Wings of Spirit
2         85            1             6147           6147           *             *             1             32              //Wings of Spirit
2         85            1             6148           6148           *             *             1             *               //Wings of Soul
2         81            4             6148           6148           *             *             1             32              //Wings of Soul
2         85            1             6149           6149           *             *             1             *               //Wings of Devil
2         80            4             6149           6149           *             *             1             32              //Wings of Devil
2         81            4             6150           6150           *             *             1             *               //Wings of Darkness
2         80            4             6150           6150           *             *             1             32              //Wings of Darkness
2         85            1             6180           6180           *             *             1             *               //Wings of Storm
2         80            4             6180           6180           *             *             1             16              //Wings of Storm
2         83            4             6180           6180           *             *             1             32              //Wings of Storm
2         85            1             6181           6181           *             *             1             *               //Wings of Space Time
2         81            4             6181           6181           *             *             1             16              //Wings of Space Time
2         83            4             6181           6181           *             *             1             32              //Wings of Space Time
2         85            1             6182           6182           *             *             1             *               //Wings of Illusion
