//Section   Type   StatType   OptionIndex1   OptionIndex2
0	    2	   0	      21	     0
0	    14	   0	      11	     0
0           32	   0          37	     38
2	    1	   0	      1	             0
4	    5	   1	      29	     0
4	    9	   1	      23	     0
5	    0	   2	      13	     0
6	    0	   3	      2	             0
6	    6	   3	      17	     0
6	    9	   3	      5	             0
7	    0	   3	      4	             0
7	    1	   3	      11	     12
7	    2	   3	      13	     14
7	    3	   3	      19	     20
7	    4	   3	      16	     0
7	    5	   3	      1	             2
7	    6	   3	      5	             6
7	    7	   3	      17	     0
7	    8	   3	      8	             0
7	    9	   3	      9	             10
7	    10	   3	      21	     22
7	    11	   3	      23	     0
7	    12	   3	      25	     0
7	    14	   3	      0	             30
7	    26	   3	      33	     0
7	    40	   3	      35	     36
7           59	   3          37	     0
7           62	   3          39	     0
7           63	   3          40	     0
7           64	   3          41	     0
7           65	   3          42	     0
7           66	   3          43	     0
7           67	   3          44	     0
7           68	   3          45	     0
7           69	   3          46	     0
7           70	   3          47	     0
7           72	   3          49	     0
8	    0	   3	      3	             0
8	    1	   3	      0	             12
8	    2	   3	      13	     0
8	    3	   3	      19	     20
8	    4	   3	      15	     16
8	    5	   3	      1	             0
8	    6	   3	      5	             6
8	    7	   3	      17	     18
8	    8	   3	      7	             0
8	    9	   3	      9	             10
8	    10	   3	      22	     0
8	    11	   3	      23	     0
8	    12	   3	      25	     0
8	    13	   3	      27	     0
8	    14	   3	      29	     30
8	    15	   3	      31	     32
8	    26	   3	      33	     0
8	    40	   3	      0	             36
8           59	   3          37	     38
8           62	   3          39	     0
8           63	   3          40	     0
8           64	   3          41	     0
8           65	   3          42	     0
8           66	   3          43	     0
8           67	   3          44	     0
8           68	   3          45	     0
8           69	   3          46	     0
8           70	   3          47	     0
8           71	   3          48	     0
8           72	   3          49	     0
9	    0	   3	      3	             4
9	    1	   3	      0	             12
9	    2	   3	      13	     14
9	    3	   3	      0	             20
9	    4	   3	      15	     0
9	    5	   3	      1	             2
9	    6	   3	      5	             6
9	    7	   3	      17	     18
9	    8	   3	      7	             8
9	    9	   3	      9	             10
9	    10	   3	      21	     22
9	    11	   3	      23	     24
9	    12	   3	      25	     26
9	    13	   3	      27	     28
9	    14	   3	      0	             30
9	    15	   3	      31	     32
9	    26	   3	      33	     34
9	    40	   3	      35	     0
9           59	   3          37	     38
9           62	   3          39	     0
9           63	   3          40	     0
9           64	   3          41	     0
9           65	   3          42	     0
9           66	   3          43	     0
9           67	   3          44	     0
9           68	   3          45	     0
9           69	   3          46	     0
9           70	   3          47	     0
9           71	   3          48	     0
9           72	   3          49	     0
10	    0	   3	      4	             0
10	    1	   3	      11	     0
10	    2	   3	      13	     0
10	    3	   3	      19	     0
10	    4	   3	      16	     0
10	    5	   3	      1	             0
10	    6	   3	      6	             0
10	    7	   3	      17	     0
10	    8	   3	      7	             0
10	    9	   3	      9	             0
10	    10	   3	      21	     0
10	    11	   3	      23	     24
10	    12	   3	      25	     0
10	    13	   3	      27	     0
10	    14	   3	      29	     0
10	    15	   3	      0	             32
10	    26	   3	      0	             34
10	    40	   3	      35	     36
10          62	   3          39	     0
10          63	   3          40	     0
10          64	   3          41	     0
10          65	   3          42	     0
10          66	   3          43	     0
10          67	   3          44	     0
10          68	   3          45	     0
10          69	   3          46	     0
10          70	   3          47	     0
10          71	   3          48	     0
11	    0	   3	      3	             0
11	    1	   3	      11	     0
11	    2	   3	      14	     0
11	    3	   3	      0	             20
11	    4	   3	      15	     16
11	    5	   3	      1	             2
11	    6	   3	      6	             0
11	    7	   3	      17	     18
11	    8	   3	      7	             0
11	    9	   3	      9	             0
11	    10	   3	      21	     22
11	    11	   3	      24	     0
11	    12	   3	      25	     26
11	    14	   3	      29	     30
11	    15	   3	      31	     0
11	    26	   3	      0	             34
11	    40	   3	      0	             36
11	    59	   3	      38	     0
11	    62	   3	      39	     0
11	    63	   3	      40	     0
11	    64	   3	      41	     0
11	    65	   3	      42	     0
11	    66	   3	      43	     0
11	    67	   3	      44	     0
11	    68	   3	      45	     0
11	    69	   3	      46	     0
11	    70	   3	      47	     0
11	    71	   3	      48	     0
11	    72	   3	      49	     0
13	    8	   1	      1	             0
13	    9	   3	      9	             33
13	    12	   2	      5	             0
13	    13	   0	      7	             0
13	    21	   2	      19	     32
13	    22	   0	      21	     12
13	    23	   1	      9	             0
13	    24	   2	      13	     35
13	    25	   0	      13	     34
13	    26	   1	      15	     0
13	    27	   3	      31	     0
13	    28	   1	      29	     0
end
