//Section   Type   MaxSocket
0           26     3
0           27     3
0           28     3
0           29     3
0           30     3
0           36     3
0           37     5
2           16     3
2           17     3
2           19     3
2           20     5
3           12     5
4           23     5
4           25     5
4           26     5
5           30     3
5           31     3
5           32     3
5           35     3
5           37     5
6           17     3
6           18     3
6           19     3
6           20     3
6           22     3
6           23     3
6           24     3
6           25     3
6           26     3
7           45     3
7           46     3
7           47     3
7           48     3
7           49     3
7           50     3
7           51     3
7           52     3
7           53     3
7           54     3
7           55     3
7           56     3
7           58     3
7           74     3
7           75     3
8           44     3
8           45     3
8           46     3
8           47     3
8           48     3
8           49     3
8           50     3
8           51     3
8           52     3
8           53     3
8           54     3
8           55     3
8           56     3
8           57     3
8           58     3
8           74     3
8           75     3
8           76     3
9           45     3
9           46     3
9           47     3
9           48     3
9           49     3
9           50     3
9           51     3
9           52     3
9           53     3
9           54     3
9           55     3
9           56     3
9           57     3
9           58     3
9           74     3
9           75     3
9           76     3
10          45     3
10          46     3
10          47     3
10          48     3
10          49     3
10          50     3
10          51     3
10          52     3
10          53     3
10          54     3
10          55     3
10          56     3
10          57     3
10          58     3
10          74     3
10          75     3
10          76     3
11          45     3
11          46     3
11          47     3
11          48     3
11          49     3
11          50     3
11          51     3
11          52     3
11          53     3
11          54     3
11          55     3
11          56     3
11          57     3
11          58     3
11          74     3
11          75     3
11          76     3
end
