//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	PkDropItem	DeathGate   	Comment
0         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		17		"Lorencia"
1         *       12          100              100            1000              0                 0                1              0             1            	0		1		1		17		"Dungeon"
2         *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		22		"Devias"
3         *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		27		"Noria"
4         *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		42		"Lost Tower"
6         *       10          100              100            1000              0                 0                1              0            	1            	0		1		1		115		"Arena"
7         *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		49		"Atlans"
8         *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		57		"Tarkan"
9         *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		27		"Devil Square 1"
10        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		42		"Icarus"
11        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 1"
12        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 2"
13        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 3"
14        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 4"
15        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 5"
16        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 6"
17        *       10          100              100            1000              0                 0                1              0           	0            	0		0		0		22		"Blood Castle 7"
18        *       10          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0             0            	0		0		0		17		"Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0           	0            	0		0		0		17		"Chaos Castle 6"
24        *       12          100              100            1000              0                 0                1              0          	1            	0		1		1		17		"Kalima 1"
25        *       12          100              100            1000              0                 0                1              0          	1            	0		1		1		17		"Kalima 2"
26        *       12          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 3"
27        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		17		"Kalima 4"
28        *       12          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 5"
29        *       12          100              100            1000              0                 0                1              0           	1            	0		1		1		17		"Kalima 6"
30        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		100		"Castle Siege"
31        *       12          100              100            1000              5000              0                1              0         	1            	0		1		1		106		"Land of Trials"
32        *       10          100              100            1000              0                 0                1              0            	0            	0		0		0		27		"Devil Square 2"
33        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		119		"Aida"
34        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		118		"Crywolf"
36        *       12          100              100            1000              0                 0                1              0            	1            	0		1		1		17		"Kalima 7"
