0
//Stage   Monster   Map   Range   X      Y      Dir
0         364       39    0       188    110    *
0         354       39    30      176    66     *
0         354       39    30      176    69     *
0         354       39    30      176    72     *
0         354       39    30      179    67     *
0         354       39    30      179    71     *
0         354       39    30      211    65     *
0         354       39    30      211    68     *
0         354       39    30      211    71     *
0         354       39    30      213    67     *
0         354       39    30      213    70     *
0         354       39    30      196    73     *
0         354       39    30      199    73     *
0         354       39    30      202    73     *
0         354       39    30      190    72     *
0         354       39    30      187    72     *
0         354       39    30      203    68     *
0         354       39    30      200    84     *
0         354       39    30      203    84     *
0         354       39    30      181    81     *
0         354       39    30      184    81     *
0         354       39    30      191    60     *
0         354       39    30      179    79     *
0         354       39    30      182    79     *
0         354       39    30      185    79     *
0         354       39    30      199    81     *
0         354       39    30      202    81     *
0         354       39    30      196    84     *
0         354       39    30      196    60     *
0         354       39    30      186    60     *
0         354       39    30      191    67     *
0         360       39    30      177    60     *
0         360       39    30      177    60     *
0         360       39    30      193    83     *
0         360       39    30      191    83     *
0         360       39    30      207    86     *
0         360       39    30      214    78     *
0         360       39    30      209    59     *
0         360       39    30      193    67     *
0         360       39    30      189    67     *
0         360       39    30      189    83     *
1         364       39    0       188    110    *
1         359       39    30      178    60     *
1         359       39    30      178    64     *
1         359       39    30      177    80     *
1         359       39    30      179    83     *
1         359       39    30      179    83     *
1         359       39    30      179    83     *
1         359       39    30      214    78     *
1         359       39    30      214    75     *
1         359       39    30      213    65     *
1         359       39    30      210    62     *
1         359       39    30      187    72     *
1         359       39    30      195    72     *
1         360       39    30      176    72     *
1         360       39    30      189    84     *
1         360       39    30      197    84     *
1         360       39    30      192    81     *
1         360       39    30      213    70     *
1         360       39    30      203    72     *
1         360       39    30      192    58     *
1         360       39    30      200    58     *
2         360       39    30      78     115    *
2         360       39    30      80     100    *
2         360       39    30      79     127    *
2         360       39    30      81     127    *
2         358       39    30      76     136    *
2         358       39    30      80     136    *
2         358       39    30      86     127    *
2         358       39    30      87     114    *
2         357       39    30      78     98     *
2         357       39    30      84     99     *
2         357       39    30      75     111    *
2         357       39    30      78     111    *
2         357       39    30      81     111    *
2         357       39    30      84     111    *
2         357       39    30      79     122    *
3         364       39    0       188    110    *
4         364       39    0       188    110    *
5         364       39    0       188    110    *
6         360       39    30      75     111    *
6         360       39    30      82     111    *
6         360       39    30      79     115    *
6         360       39    30      77     133    *
6         360       39    30      81     133    *
6         360       39    30      79     128    *
6         360       39    30      77     121    *
end
