0
//Number   Name                                 Priority   CurrentState   NextState   TransitionType   TransitionRate   TransitionValueType   TransitionValue   DelayTime
1          "General -> Go"                      0          0              1           0                100              *                     *                 1000
1          "General -> Go"                      1          0              1           2                100              *                     *                 1000
1          "General -> Attack"                  2          0              2           1                100              *                     *                 1000
1          "Go -> Attack"                       0          1              2           1                100              *                     *                 1000
1          "Go -> Go"                           1          1              1           0                100              *                     *                 1000
1          "Go -> Go"                           2          1              1           2                100              *                     *                 1000
1          "Attack -> Go"                       0          2              1           0                100              *                     *                 1000
1          "Attack -> Avoid"                    1          2              4           4                100              *                     10000             1000
1          "Attack -> Attack"                   2          2              2           1                100              *                     *                 1000
1          "Attack -> Go"                       3          2              1           2                100              *                     *                 1000
1          "Attack -> Attack"                   4          2              2           1                100              *                     *                 1000
1          "Avoid -> General"                   0          4              0           0                100              *                     *                 1000
1          "Avoid -> Attack"                    1          4              2           7                70               *                     3000              1000
1          "Avoid -> Go"                        2          4              1           2                50               *                     *                 1000
1          "Avoid -> Attack"                    3          4              2           1                50               *                     *                 1000
1          "Avoid -> Avoid"                     4          4              4           1                80               *                     *                 1000
1          "Avoid -> Avoid"                     5          4              4           4                100              *                     2000              1000
1          "Avoid -> Avoid"                     6          4              4           4                80               *                     10000             1000
1          "Avoid -> General"                   7          4              0           1                100              *                     *                 1000
1          "Avoid -> General"                   8          4              0           2                100              *                     *                 1000
2          "General -> Go"                      0          0              1           0                50               *                     *                 1000
2          "General -> Treatment"               1          0              3           0                10               *                     *                 1000
2          "General -> Summon"                  2          0              6           0                100              *                     *                 1000
2          "General -> Go"                      3          0              1           2                80               *                     *                 1000
2          "General -> Summon"                  4          0              6           2                100              *                     *                 1000
2          "General -> Treatment"               5          0              3           1                10               *                     *                 1000
2          "General -> Go"                      6          0              1           1                100              *                     *                 1000
2          "Go -> Treatment"                    0          1              3           1                20               *                     *                 1000
2          "Go -> Attack"                       1          1              2           1                30               *                     *                 1000
2          "Go -> Go"                           2          1              1           0                100              *                     *                 1000
2          "Go -> Summon"                       3          1              6           0                20               *                     *                 1000
2          "Go -> Go"                           4          1              1           0                100              *                     *                 1000
2          "Go -> Summon"                       5          1              6           2                100              *                     *                 1000
2          "Go -> Go"                           6          1              1           2                100              *                     *                 1000
2          "Attack -> Go"                       0          2              1           0                100              *                     *                 1000
2          "Attack -> Treatment"                1          2              3           4                100              *                     10000             1000
2          "Attack -> Go"                       2          2              1           2                100              *                     *                 1000
2          "Attack -> Attack"                   3          2              2           1                50               *                     *                 1000
2          "Attack -> General"                  4          2              0           1                100              *                     *                 1000
2          "Treatment -> General"               0          3              0           0                100              *                     *                 1000
2          "Treatment -> General"               1          3              0           2                100              *                     *                 1000
2          "Treatment -> General"               2          3              0           1                100              *                     *                 1000
2          "Summon -> General"                  0          6              0           0                100              *                     *                 1000
2          "Summon -> General"                  1          6              0           2                100              *                     *                 1000
2          "Summon -> General"                  2          6              0           1                100              *                     *                 1000
3          "General -> Attack"                  0          0              2           0                100              *                     *                 1000
3          "General -> Attack"                  1          0              2           2                100              *                     *                 1000
3          "General -> Attack"                  2          0              2           1                100              *                     *                 1000
3          "Attack -> General"                  0          2              0           0                100              *                     *                 1000
3          "Attack -> General"                  1          2              0           2                100              *                     *                 1000
3          "Attack -> General"                  2          2              0           1                100              *                     *                 1000
4          "General -> Go"                      0          0              1           0                100              *                     *                 1000
4          "General -> Go"                      1          0              1           2                100              *                     *                 1000
4          "General -> Attack"                  2          0              2           1                100              *                     *                 1000
4          "Go -> Go"                           0          1              1           0                100              *                     *                 1000
4          "Go -> Attack"                       1          1              2           1                50               *                     *                 1000
