0
//Index   Name                                 Class   Type   SuccessRate   DelayTime   TargetType   X      Y
1         "General Condition"                  0       1      100           1000        *            *      * 
2         "Item Move"                          1       12     100           1000        2            121    36
3         "Test Attack"                        2       21     100           300         2            *      * 
4         "Avoid - Fugitive"                   4       41     100           300         2            *      * 
5         "Self- Treatment"                    3       31     100           300         2            *      * 
6         "Group Summon"                       6       62     100           300         2            *      * 
7         "Group Therapy"                      3       32     100           300         2            *      * 
8         "Group Migration"                    1       13     100           300         2            *      * 
9         "Position Attack"                    2       22     100           300         2            121    36
11        "Goal Move 1-1"                      1       12     100           1000        2            128    45
12        "Goal Move 1-2"                      1       12     100           1000        2            109    42
13        "Goal Move 1-3"                      1       12     100           1000        2            123    84
14        "Goal Move 1-4"                      1       12     100           1000        2            119    87
15        "Goal Move 2-1"                      1       12     100           1000        2            105    32
16        "Goal Move 2-2"                      1       12     100           1000        2            89     32
17        "Goal Move 2-3"                      1       12     100           1000        2            83     29
18        "Goal Move 2-4"                      1       12     100           1000        2            65     34
19        "Goal Move 3-1"                      1       12     100           1000        2            136    38
20        "Goal Move 3-2"                      1       12     100           1000        2            134    19
21        "Goal Move 3-3"                      1       12     100           1000        2            177    37
22        "Goal Move 3-4"                      1       12     100           1000        2            179    33
31        "Goal Move 1-1"                      1       12     100           1000        2            126    35
32        "Goal Move 1-2"                      1       12     100           1000        2            125    27
33        "Goal Move 1-3"                      1       12     100           1000        2            121    19
34        "Goal Move 1-4"                      1       12     100           1000        2            119    87
35        "Goal Move 2-1"                      1       12     100           1000        2            120    38
36        "Goal Move 2-2"                      1       12     100           1000        2            115    32
37        "Goal Move 2-3"                      1       12     100           1000        2            109    40
38        "Goal Move 2-4"                      1       12     100           1000        2            65     34
39        "Goal Move 3-1"                      1       12     100           1000        2            117    27
40        "Goal Move 3-2"                      1       12     100           1000        2            117    37
41        "Goal Move 3-3"                      1       12     100           1000        2            131    31
42        "Goal Move 3-4"                      1       12     100           1000        2            179    33
51        "1-1 Position Attacks"               2       22     100           300         2            121    52
52        "1-2 Position Attacks"               2       22     100           300         2            120    35
53        "2-1 Position Attacks"               2       22     100           300         2            101    31
54        "2-2 Position Attacks"               2       22     100           300         2            117    31
55        "3-1 Position Attacks"               2       22     100           300         2            141    32
56        "3-2 Position Attacks"               2       22     100           300         2            125    31
60        "Invisible"                          6       64     100           1000        *            *      * 
61        "General Attack"                     2       21     100           1000        1            *      * 
62        "Fast Attack"                        2       21     100           800         1            *      * 
63        "Super Fast Attack"                  2       21     100           100         1            *      * 
64        "Rubber Meat"                        2       23     100           300         1            *      * 
65        "General Move"                       1       11     100           100         1            *      * 
66        "High Bank"                          6       64     100           1000        *            2      2
67        "General Move"                       1       11     100           100         1            *      * 
68        "General Attack"                     2       21     100           1000        1            *      * 
69        "Summon"                             6       65     100           1000        1            *      * 
70        "Year For The Body"                  6       66     100           1000        1            79     100
71        "Year For The Body"                  6       66     100           1000        1            78     124
72        "Year For The Body"                  6       66     100           1000        1            78     141
73        "Attack Pattern"                     2       67     100           1000        60           40     0
74        "Attack Pattern"                     2       67     100           1000        40           60     0
75        "Attack Pattern"                     2       67     100           1000        30           30     40
76        "Attack Pattern"                     2       67     100           1000        30           20     50
77        "AI Change"                          7       68     100           1000        23           1      * 
78        "AI Change"                          7       68     100           1000        23           2      * 
79        "AI Change"                          7       68     100           1000        23           3      * 
80        "Imperial Guardian - Common"         0       1      100           1000        *            *      * 
81        "Imperial Guardian - Move"           1       11     100           1000        2            *      * 
82        "Imperial Guardian - Attack"         2       21     100           1000        2            *      * 
83        "Imperial Guardian - Heal Self"      3       31     100           1000        2            *      * 
84        "Imperial Guardian - Help Heal"      5       51     100           1000        2            *      * 
85        "Double Goer - Move 1"               1       12     100           1000        2            197    25
86        "Double Goer - Move 2"               1       12     100           1000        2            138    67
87        "Double Goer - Move 3"               1       12     100           1000        2            110    56
88        "Double Goer - Move 4"               1       12     100           1000        2            95     11
89        "Double Goer - Attack"               2       21     100           1000        2            *      * 
end
