0
//Number   Guid   Monster   Rank   StartAI   AI1   AI2   AI3   CreateType   Map   X      Y      Dir   RegenType
1          0      340       0      10        11    31    2     0            34    110    77     *     1
1          1      341       *      10        1     1     1     0            34    108    73     *     1
1          2      341       *      10        1     1     1     0            34    110    73     *     1
1          3      341       *      10        1     1     1     0            34    112    73     *     1
1          4      341       *      10        1     1     1     0            34    109    75     *     1
1          5      341       *      10        1     1     1     0            34    111    75     *     1
2          0      340       0      10        12    32    2     0            34    125    77     *     1
2          1      341       *      10        1     1     1     0            34    125    73     *     1
2          2      341       *      10        1     1     1     0            34    123    73     *     1
2          3      341       *      10        1     1     1     0            34    127    73     *     1
2          4      341       *      10        1     1     1     0            34    124    75     *     1
2          5      341       *      10        1     1     1     0            34    126    75     *     1
3          0      340       0      10        13    33    2     0            34    119    83     *     1
3          1      341       *      10        1     1     1     0            34    119    77     *     1
3          2      341       *      10        1     1     1     0            34    117    77     *     1
3          3      341       *      10        1     1     1     0            34    121    77     *     1
3          4      344       *      10        1     1     1     0            34    118    79     *     1
3          5      344       *      10        1     1     1     0            34    120    79     *     1
3          6      345       *      10        1     1     1     0            34    116    81     *     1
3          7      345       *      10        1     1     1     0            34    119    81     *     1
3          8      345       *      10        1     1     1     0            34    122    81     *     1
4          0      340       0      10        14    34    2     0            34    119    87     *     1
4          1      344       *      10        1     1     1     0            34    119    90     *     1
4          2      348       *      10        51    51    51    0            34    122    90     *     * 
4          3      348       *      10        52    52    52    0            34    116    90     *     * 
5          0      349       0      4         4     4     4     0            34    110    79     *     1
6          0      340       0      10        15    35    2     0            34    77     28     *     1
6          1      341       *      10        1     1     1     0            34    81     25     *     1
6          2      341       *      10        1     1     1     0            34    81     27     *     1
6          3      341       *      10        1     1     1     0            34    81     29     *     1
6          4      341       *      10        1     1     1     0            34    79     26     *     1
6          5      341       *      10        1     1     1     0            34    79     28     *     1
7          0      340       0      10        16    36    2     0            34    77     42     *     1
7          1      341       *      10        1     1     1     0            34    79     38     *     1
7          2      341       *      10        1     1     1     0            34    81     37     *     1
7          3      341       *      10        1     1     1     0            34    81     39     *     1
7          4      341       *      10        1     1     1     0            34    81     41     *     1
7          5      341       *      10        1     1     1     0            34    79     40     *     1
8          0      340       0      10        17    37    2     0            34    70     34     *     1
8          1      341       *      10        1     1     1     0            34    77     31     *     1
8          2      341       *      10        1     1     1     0            34    77     33     *     1
8          3      341       *      10        1     1     1     0            34    77     35     *     1
8          4      344       *      10        1     1     1     0            34    75     32     *     1
8          5      344       *      10        1     1     1     0            34    75     34     *     1
8          6      345       *      10        1     1     1     0            34    73     33     *     1
8          7      345       *      10        1     1     1     0            34    73     29     *     1
8          8      345       *      10        1     1     1     0            34    73     37     *     1
9          0      340       0      10        18    38    2     0            34    65     34     *     1
9          1      344       *      10        1     1     1     0            34    62     34     *     1
9          2      348       *      10        53    53    53    0            34    62     37     *     * 
9          3      348       *      10        54    54    54    0            34    62     31     *     * 
10         0      340       0      10        19    39    2     0            34    167    27     *     1
10         1      341       *      10        1     1     1     0            34    163    29     *     1
10         2      341       *      10        1     1     1     0            34    163    27     *     1
10         3      341       *      10        1     1     1     0            34    163    25     *     1
10         4      341       *      10        1     1     1     0            34    165    26     *     1
10         5      341       *      10        1     1     1     0            34    165    28     *     1
11         0      340       0      10        20    40    2     0            34    167    39     *     1
11         1      341       *      10        1     1     1     0            34    165    38     *     1
11         2      341       *      10        1     1     1     0            34    163    37     *     1
11         3      341       *      10        1     1     1     0            34    163    39     *     1
11         4      341       *      10        1     1     1     0            34    165    40     *     1
11         5      341       *      10        1     1     1     0            34    163    41     *     1
12         0      340       0      10        21    41    2     0            34    174    33     *     1
12         1      341       *      10        1     1     1     0            34    167    35     *     1
12         2      341       *      10        1     1     1     0            34    167    33     *     1
12         3      341       *      10        1     1     1     0            34    167    31     *     1
12         4      344       *      10        1     1     1     0            34    169    32     *     1
12         5      344       *      10        1     1     1     0            34    169    34     *     1
12         6      345       *      10        1     1     1     0            34    171    33     *     1
12         7      345       *      10        1     1     1     0            34    171    30     *     1
12         8      345       *      10        1     1     1     0            34    171    36     *     1
13         0      340       0      10        22    42    2     0            34    179    33     *     1
13         1      344       *      10        1     1     1     0            34    183    33     *     1
13         2      348       *      10        55    55    55    0            34    183    36     *     * 
13         3      348       *      10        56    56    56    0            34    183    30     *     * 
20         0      362       0      60        61    62    63    0            39    202    83     2     * 
21         0      363       0      60        61    62    63    0            39    189    82     2     * 
22         0      362       0      60        64    65    67    0            39    202    83     2     * 
22         1      363       *      60        64    66    67    0            39    189    82     2     * 
23         0      361       0      68        69    70    71    0            39    78     141    2     *
end
