//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
217            30             00         167            195            07             //Crown Switch 2
218            30             00         184            195            07             //Crown Switch 1
216            30             00         176            212            01             //Crown
220            30             00         139            101            03             //Gatekeeper
224            30             00         086            061            01             //Guardsman
224            30             00         099            061            01             //Guardsman
223            30             00         179            214            01             //Senior
376            30             00         090            044            01             //Pamela the Supplier
377            30             00         089            218            03             //Angela the Supplier
end

0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
226            34             00         135            047            02             //Trainer
256            34             00         096            025            02             //Lahap
251            34             00         145            014            01             //Hanzo the Blacksmith
240            34             00         113            056            02             //Safety Guardian
224            34             00         118            011            04             //Guardsman
204            34             00         121            031            02             //Wolf Status
205            34             00         125            027            02             //Wolf Altar 1
206            34             00         126            035            02             //Wolf Altar 2
207            34             00         120            038            02             //Wolf Altar 3
208            34             00         115            035            02             //Wolf Altar 4
209            34             00         117            027            02             //Wolf Altar 5
406            34             00         228            048            01             //Apostle Devin
407            34             00         062            239            01             //Werewolf Quarel
248            34             00         099            040            02             //Wandering Merchant Martin
end

0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
408            41             00         119            168            02             //Gatekeeper
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
294            31             30         228            042            -1             //Ax Warrior
294            31             30         182            031            -1             //Ax Warrior
291            31             30         105            190            -1             //Fire Golem
294            31             30         185            015            -1             //Ax Warrior
294            31             30         193            012            -1             //Ax Warrior
292            31             30         098            175            -1             //Queen Bee
294            31             30         196            026            -1             //Ax Warrior
294            31             30         202            012            -1             //Ax Warrior
291            31             30         088            183            -1             //Fire Golem
294            31             30         214            014            -1             //Ax Warrior
294            31             30         202            020            -1             //Ax Warrior
294            31             30         206            028            -1             //Ax Warrior
290            31             30         212            022            -1             //Lizard Warrior
294            31             30         221            017            -1             //Ax Warrior
294            31             30         224            025            -1             //Ax Warrior
294            31             30         228            031            -1             //Ax Warrior
294            31             30         218            031            -1             //Ax Warrior
294            31             30         211            039            -1             //Ax Warrior
290            31             30         233            036            -1             //Lizard Warrior
294            31             30         235            045            -1             //Ax Warrior
292            31             30         224            147            -1             //Queen Bee
291            31             30         225            141            -1             //Fire Golem
293            31             30         225            132            -1             //Poison Golem
293            31             30         224            124            -1             //Poison Golem
293            31             30         218            110            -1             //Poison Golem
293            31             30         219            119            -1             //Poison Golem
293            31             30         227            116            -1             //Poison Golem
290            31             30         228            109            -1             //Lizard Warrior
293            31             30         230            102            -1             //Poison Golem
293            31             30         222            098            -1             //Poison Golem
294            31             30         223            054            -1             //Ax Warrior
290            31             30         204            061            -1             //Lizard Warrior
291            31             30         064            213            -1             //Fire Golem
291            31             30         048            207            -1             //Fire Golem
290            31             30         209            067            -1             //Lizard Warrior
290            31             30         218            065            -1             //Lizard Warrior
290            31             30         234            075            -1             //Lizard Warrior
290            31             30         234            066            -1             //Lizard Warrior
290            31             30         234            055            -1             //Lizard Warrior
291            31             30         018            173            -1             //Fire Golem
291            31             30         038            172            -1             //Fire Golem
291            31             30         028            185            -1             //Fire Golem
291            31             30         031            209            -1             //Fire Golem
291            31             30         040            231            -1             //Fire Golem
291            31             30         056            227            -1             //Fire Golem
291            31             30         081            221            -1             //Fire Golem
291            31             30         080            234            -1             //Fire Golem
290            31             30         231            095            -1             //Lizard Warrior
293            31             30         230            086            -1             //Poison Golem
290            31             30         222            087            -1             //Lizard Warrior
293            31             30         220            074            -1             //Poison Golem
290            31             30         226            063            -1             //Lizard Warrior
290            31             30         214            053            -1             //Lizard Warrior
290            31             30         223            039            -1             //Lizard Warrior
290            31             30         191            021            -1             //Lizard Warrior
292            31             30         037            222            -1             //Queen Bee
292            31             30         048            221            -1             //Queen Bee
292            31             30         072            232            -1             //Queen Bee
292            31             30         075            204            -1             //Queen Bee
292            31             30         027            174            -1             //Queen Bee
292            31             30         041            185            -1             //Queen Bee
291            31             30         052            188            -1             //Fire Golem
292            31             30         071            194            -1             //Queen Bee
292            31             30         092            225            -1             //Queen Bee
293            31             30         227            077            -1             //Poison Golem
292            31             30         097            200            -1             //Queen Bee
294            31             30         057            012            -1             //Ax Warrior
294            31             30         062            011            -1             //Ax Warrior
294            31             30         058            019            -1             //Ax Warrior
294            31             30         067            017            -1             //Ax Warrior
294            31             30         038            035            -1             //Ax Warrior
294            31             30         059            040            -1             //Ax Warrior
294            31             30         041            041            -1             //Ax Warrior
294            31             30         050            037            -1             //Ax Warrior
294            31             30         052            043            -1             //Ax Warrior
294            31             30         072            039            -1             //Ax Warrior
294            31             30         078            045            -1             //Ax Warrior
294            31             30         072            050            -1             //Ax Warrior
294            31             30         064            053            -1             //Ax Warrior
294            31             30         093            035            -1             //Ax Warrior
294            31             30         097            039            -1             //Ax Warrior
294            31             30         103            036            -1             //Ax Warrior
294            31             30         102            028            -1             //Ax Warrior
294            31             30         053            052            -1             //Ax Warrior
294            31             30         043            062            -1             //Ax Warrior
294            31             30         127            036            -1             //Ax Warrior
294            31             30         130            029            -1             //Ax Warrior
294            31             30         137            029            -1             //Ax Warrior
294            31             30         133            037            -1             //Ax Warrior
294            31             30         132            046            -1             //Ax Warrior
294            31             30         014            043            -1             //Ax Warrior
294            31             30         143            037            -1             //Ax Warrior
294            31             30         150            033            -1             //Ax Warrior
294            31             30         163            037            -1             //Ax Warrior
294            31             30         170            045            -1             //Ax Warrior
294            31             30         143            056            -1             //Ax Warrior
294            31             30         059            071            -1             //Ax Warrior
294            31             30         073            069            -1             //Ax Warrior
290            31             30         050            060            -1             //Lizard Warrior
290            31             30         054            065            -1             //Lizard Warrior
290            31             30         059            059            -1             //Lizard Warrior
290            31             30         082            074            -1             //Lizard Warrior
290            31             30         092            083            -1             //Lizard Warrior
290            31             30         094            092            -1             //Lizard Warrior
290            31             30         139            050            -1             //Lizard Warrior
290            31             30         157            034            -1             //Lizard Warrior
290            31             30         170            055            -1             //Lizard Warrior
290            31             30         172            062            -1             //Lizard Warrior
290            31             30         142            066            -1             //Lizard Warrior
290            31             30         153            059            -1             //Lizard Warrior
290            31             30         155            070            -1             //Lizard Warrior
290            31             30         162            061            -1             //Lizard Warrior
290            31             30         165            070            -1             //Lizard Warrior
290            31             30         170            074            -1             //Lizard Warrior
290            31             30         167            082            -1             //Lizard Warrior
290            31             30         156            089            -1             //Lizard Warrior
290            31             30         144            077            -1             //Lizard Warrior
290            31             30         087            077            -1             //Lizard Warrior
290            31             30         122            081            -1             //Lizard Warrior
293            31             30         063            134            -1             //Poison Golem
293            31             30         076            140            -1             //Poison Golem
293            31             30         070            149            -1             //Poison Golem
293            31             30         081            150            -1             //Poison Golem
293            31             30         058            124            -1             //Poison Golem
293            31             30         066            120            -1             //Poison Golem
293            31             30         071            113            -1             //Poison Golem
293            31             30         080            111            -1             //Poison Golem
293            31             30         114            088            -1             //Poison Golem
