//Index   StartType   MonsterClass   CurrentState   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   DW      DK      FE      MG      DL      SU
0         0           235            3              *              *              150               400               1       1       1       0       0       1
1         0           235            3              0              2              150               400               1       1       1       0       0       1
2         0           229            3              1              2              220               400               2       2       2       0       0       2
3         0           229            3              2              2              220               400               0       2       0       0       0       0
4         0           406            3              2              2              380               400               2       0       2       0       0       2
4         0           406            3              3              2              380               400               0       2       0       0       0       0
4         0           406            3              *              *              380               400               0       0       0       1       1       0
5         0           406            3              4              2              400               400               2       2       2       1       1       2
6         0           406            3              5              2              400               400               2       2       2       1       1       2
0         0           235            0              *              *              150               400               1       1       1       0       0       1
1         0           235            0              0              2              150               400               1       1       1       0       0       1
2         0           229            0              1              2              220               400               2       2       2       0       0       2
3         0           229            0              2              2              220               400               0       2       0       0       0       0
4         0           406            0              2              2              380               400               2       0       2       0       0       2
4         0           406            0              3              2              380               400               0       2       0       0       0       0
4         0           406            0              *              *              380               400               0       0       0       1       1       0
5         0           406            0              4              2              400               400               2       2       2       1       1       2
6         0           406            0              5              2              400               400               2       2       2       1       1       2
0         0           235            1              *              *              150               400               1       1       1       0       0       1
1         0           235            1              0              2              150               400               1       1       1       0       0       1
2         0           229            1              1              2              220               400               2       2       2       0       0       2
3         0           229            1              2              2              220               400               0       2       0       0       0       0
4         0           406            1              2              2              380               400               2       0       2       0       0       2
4         0           406            1              3              2              380               400               0       2       0       0       0       0
4         0           406            1              *              *              380               400               0       0       0       1       1       0
5         0           406            1              4              2              400               400               2       2       2       1       1       2
6         0           406            1              5              2              400               400               2       2       2       1       1       2
6         0           406            2              5              2              400               400               2       2       2       1       1       2
5         0           406            2              4              2              400               400               2       2       2       1       1       2
4         0           406            2              2              2              380               400               2       0       2       0       0       2
4         0           406            2              3              2              380               400               0       2       0       0       0       0
4         0           406            2              *              *              380               400               0       0       0       1       1       0
3         0           229            2              2              2              220               400               0       2       0       0       0       0
2         0           229            2              1              2              220               400               2       2       2       0       0       2
1         0           235            2              0              2              150               400               1       1       1       0       0       1
0         0           235            2              *              *              150               400               1       1       1       0       0       1
end



