//Index   Group   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireCooldown   DW      DK      FE      MG      DL      SU
0         1       0        1           257            0              1            0            *            *            *            *            *              *              *              1                 50                *               *                 1       1       1       0       0       1
0         1       0        1           257            0              1            0            *            *            *            *            0              1              0              1                 50                *               *                 1       1       1       0       0       1
0         1       0        1           257            0              1            0            *            *            *            *            0              1              4              1                 50                *               *                 1       1       1       0       0       1       
1         1       0        *           257            0              2            1            3            0            *            *            1              1              0              *                 *                 *               *                 1       1       1       0       0       1       
1         1       0        1           257            0              2            1            3            0            *            *            1              1              4              1                 50                *               *                 1       1       1       0       0       1       
2         1       0        *           257            1              *            *            *            *            *            *            2              1              1              *                 *                 *               *                 1       1       1       0       0       1       
2         1       0        1           257            1              *            *            *            *            *            *            2              1              4              1                 50                *               *                 1       1       1       0       0       1       
3         1       0        *           257            0              4            1            2            1            *            *            3              1              0              *                 *                 *               *                 1       1       1       0       0       1       
3         1       0        1           257            0              4            1            2            1            *            *            3              1              4              1                 50                *               *                 1       1       1       0       0       1       
4         1       0        *           257            1              *            *            *            *            *            *            4              1              1              *                 *                 *               *                 1       1       1       0       0       1       
4         1       0        1           257            1              *            *            *            *            *            *            4              1              4              1                 50                *               *                 1       1       1       0       0       1       
5         1       1        0           257            0              6            0            9            1            *            *            2              1              3              1                 50                *               *                 1       1       1       0       0       1       
5         1       1        0           257            0              6            0            9            1            *            *            4              1              3              1                 50                *               *                 1       1       1       0       0       1       
5         1       1        0           257            0              6            0            9            1            *            *            5              1              0              1                 50                *               *                 1       1       1       0       0       1       
5         1       1        0           257            0              6            0            9            1            *            *            5              1              4              1                 50                *               *                 1       1       1       0       0       1       
6         1       1        0           257            0              7            0            *            *            *            *            6              1              0              *                 *                 *               *                 1       1       1       0       0       1       
6         1       1        0           257            0              7            0            *            *            *            *            6              1              4              1                 50                *               *                 1       1       1       0       0       1       
7         1       1        0           257            0              8            0            *            *            *            *            7              1              0              *                 *                 *               *                 1       1       1       0       0       1       
7         1       1        0           257            0              8            0            *            *            *            *            7              1              4              1                 50                *               *                 1       1       1       0       0       1       
8         1       1        0           257            0              9            1            *            *            *            *            8              1              0              *                 *                 *               *                 1       1       1       0       0       1       
8         1       1        0           257            0              9            1            *            *            *            *            8              1              4              1                 50                *               *                 1       1       1       0       0       1       
9         1       1        0           257            1              *            *            *            *            *            *            9              1              1              *                 *                 *               *                 1       1       1       0       0       1       
9         1       1        0           257            1              *            *            *            *            *            *            9              1              4              1                 50                *               *                 1       1       1       0       0       1       
10        1       2        0           257            0              11           0            15           1            *            *            9              1              3              1                 50                *               *                 1       1       1       0       0       1       
10        1       2        0           257            0              11           0            15           1            *            *            10             1              0              1                 50                *               *                 1       1       1       0       0       1       
10        1       2        0           257            0              11           0            15           1            *            *            10             1              4              1                 50                *               *                 1       1       1       0       0       1       
11        1       2        0           257            0              12           0            13           0            14           0            11             1              0              *                 *                 *               *                 1       1       1       0       0       1       
11        1       2        0           257            0              12           0            13           0            14           0            11             1              4              1                 50                *               *                 1       1       1       0       0       1       
12        1       2        0           257            0              13           0            14           0            15           1            12             1              0              *                 *                 *               *                 1       1       1       0       0       1       
12        1       2        0           257            0              13           0            14           0            15           1            12             1              4              1                 50                *               *                 1       1       1       0       0       1       
13        1       2        0           257            0              12           0            14           0            15           1            13             1              0              *                 *                 *               *                 1       1       1       0       0       1       
13        1       2        0           257            0              12           0            14           0            15           1            13             1              4              1                 50                *               *                 1       1       1       0       0       1       
14        1       2        0           257            0              12           0            13           0            15           1            14             1              0              *                 *                 *               *                 1       1       1       0       0       1       
14        1       2        0           257            0              12           0            13           0            15           1            14             1              4              1                 50                *               *                 1       1       1       0       0       1       
15        1       2        0           257            1              *            *            *            *            *            *            15             1              1              *                 *                 *               *                 1       1       1       0       0       1       
15        1       2        0           257            1              *            *            *            *            *            *            15             1              4              1                 50                *               *                 1       1       1       0       0       1       
16        1       3        0           257            0              17           0            *            *            *            *            15             1              3              1                 50                *               *                 1       1       1       0       0       1       
16        1       3        0           257            0              17           0            *            *            *            *            16             1              0              1                 50                *               *                 1       1       1       0       0       1       
16        1       3        0           257            0              17           0            *            *            *            *            16             1              4              1                 50                *               *                 1       1       1       0       0       1       
17        1       3        0           257            0              20           1            18           0            *            *            17             1              0              *                 *                 *               *                 1       1       1       0       0       1       
17        1       3        0           257            0              20           1            18           0            *            *            17             1              4              1                 50                *               *                 1       1       1       0       0       1       
18        1       3        0           257            0              19           0            *            *            *            *            18             1              0              *                 *                 *               *                 1       1       1       0       0       1       
18        1       3        0           257            0              19           0            *            *            *            *            18             1              4              1                 50                *               *                 1       1       1       0       0       1       
19        1       3        0           257            0              20           1            *            *            *            *            19             1              0              *                 *                 *               *                 1       1       1       0       0       1       
19        1       3        0           257            0              20           1            *            *            *            *            19             1              4              1                 50                *               *                 1       1       1       0       0       1       
20        1       3        0           257            1              *            *            *            *            *            *            20             1              1              *                 *                 *               *                 1       1       1       0       0       1       
20        1       3        0           257            1              *            *            *            *            *            *            20             1              4              1                 50                *               *                 1       1       1       0       0       1       
21        1       4        0           257            0              22           0            *            *            *            *            20             1              3              1                 50                *               *                 1       1       1       0       0       1       
21        1       4        0           257            0              22           0            *            *            *            *            21             1              0              1                 50                *               *                 1       1       1       0       0       1       
21        1       4        0           257            0              22           0            *            *            *            *            21             1              4              1                 50                *               *                 1       1       1       0       0       1       
22        1       4        0           257            0              23           1            21           0            *            *            22             1              0              *                 *                 *               *                 0       0       1       0       0       0       
22        1       4        0           257            0              23           1            21           0            *            *            22             1              4              1                 50                *               *                 0       0       1       0       0       0       
22        1       4        0           257            0              24           1            21           0            *            *            22             1              0              *                 *                 *               *                 1       1       0       0       0       0       
22        1       4        0           257            0              24           1            21           0            *            *            22             1              4              1                 50                *               *                 1       1       0       0       0       0       
22        1       4        0           257            0              25           1            21           0            *            *            22             1              0              *                 *                 *               *                 0       0       0       0       0       1       
22        1       4        0           257            0              25           1            21           0            *            *            22             1              4              1                 50                *               *                 0       0       0       0       0       1       
23        1       4        0           257            1              *            *            *            *            *            *            23             1              1              *                 *                 *               *                 0       0       1       0       0       0       
23        1       4        0           257            1              *            *            *            *            *            *            23             1              4              1                 50                *               *                 0       0       1       0       0       0       
24        1       4        0           257            1              *            *            *            *            *            *            24             1              1              *                 *                 *               *                 1       1       0       0       0       0       
24        1       4        0           257            1              *            *            *            *            *            *            24             1              4              1                 50                *               *                 1       1       0       0       0       0       
25        1       4        0           257            1              *            *            *            *            *            *            25             1              1              *                 *                 *               *                 0       0       0       0       0       1       
25        1       4        0           257            1              *            *            *            *            *            *            25             1              4              1                 50                *               *                 0       0       0       0       0       1       
26        1       5        0           257            0              27           0            29           1            *            *            23             1              3              1                 50                *               *                 1       1       1       0       0       1       
26        1       5        0           257            0              27           0            29           1            *            *            24             1              3              1                 50                *               *                 1       1       1       0       0       1       
26        1       5        0           257            0              27           0            29           1            *            *            25             1              3              1                 50                *               *                 1       1       1       0       0       1       
26        1       5        0           257            0              27           0            29           1            *            *            26             1              0              1                 50                *               *                 1       1       1       0       0       1       
26        1       5        0           257            0              27           0            29           1            *            *            26             1              4              1                 50                *               *                 1       1       1       0       0       1       
27        1       5        0           257            0              28           0            29           1            *            *            27             1              0              *                 *                 *               *                 1       1       1       0       0       1       
27        1       5        0           257            0              28           0            29           1            *            *            27             1              4              1                 50                *               *                 1       1       1       0       0       1       
28        1       5        0           257            0              29           1            *            *            *            *            28             1              0              *                 *                 *               *                 1       1       1       0       0       1       
28        1       5        0           257            0              29           1            *            *            *            *            28             1              4              1                 50                *               *                 1       1       1       0       0       1       
29        1       5        0           257            1              *            *            *            *            *            *            29             1              1              *                 *                 *               *                 1       1       1       0       0       1       
29        1       5        0           257            1              *            *            *            *            *            *            29             1              4              1                 50                *               *                 1       1       1       0       0       1       
30        1       6        0           257            0              31           1            *            *            *            *            29             1              3              1                 50                *               *                 1       1       1       0       0       1       
30        1       6        0           257            0              31           1            *            *            *            *            30             1              0              1                 50                *               *                 1       1       1       0       0       1       
30        1       6        0           257            0              31           1            *            *            *            *            30             1              4              1                 50                *               *                 1       1       1       0       0       1       
31        1       6        0           257            1              *            *            *            *            *            *            31             1              1              *                 *                 *               *                 1       1       1       0       0       1       
31        1       6        0           257            1              *            *            *            *            *            *            31             1              4              1                 50                *               *                 1       1       1       0       0       1       
32        1       7        0           257            0              33           1            *            *            *            *            31             1              3              1                 50                *               *                 0       0       1       0       0       0       
32        1       7        0           257            0              33           1            *            *            *            *            32             1              0              1                 50                *               *                 0       0       1       0       0       0       
32        1       7        0           257            0              33           1            *            *            *            *            32             1              4              1                 50                *               *                 0       0       1       0       0       0       
32        1       7        0           257            0              34           1            *            *            *            *            31             1              3              1                 50                *               *                 1       1       0       0       0       0       
32        1       7        0           257            0              34           1            *            *            *            *            32             1              0              1                 50                *               *                 1       1       0       0       0       0       
32        1       7        0           257            0              34           1            *            *            *            *            32             1              4              1                 50                *               *                 1       1       0       0       0       0       
32        1       7        0           257            0              35           1            *            *            *            *            31             1              3              1                 50                *               *                 0       0       0       0       0       1       
32        1       7        0           257            0              35           1            *            *            *            *            32             1              0              1                 50                *               *                 0       0       0       0       0       1       
32        1       7        0           257            0              35           1            *            *            *            *            32             1              4              1                 50                *               *                 0       0       0       0       0       1       
33        1       7        0           257            1              *            *            *            *            *            *            33             1              1              *                 *                 *               *                 0       0       1       0       0       0       
33        1       7        0           257            1              *            *            *            *            *            *            33             1              4              1                 50                *               *                 0       0       1       0       0       0       
34        1       7        0           257            1              *            *            *            *            *            *            34             1              1              *                 *                 *               *                 1       1       0       0       0       0       
34        1       7        0           257            1              *            *            *            *            *            *            34             1              4              1                 50                *               *                 1       1       0       0       0       0       
35        1       7        0           257            1              *            *            *            *            *            *            35             1              1              *                 *                 *               *                 0       0       0       0       0       1       
35        1       7        0           257            1              *            *            *            *            *            *            35             1              4              1                 50                *               *                 0       0       0       0       0       1       


