//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireGroup   RequireState   DW      DK      FE      MG      DL      SU      
0          16     0       1          0       0         0         0         0           9              1              1              1       1       1       0       0       1       
0          16     0       1          0       0         0         0         0           15             1              1              1       1       1       0       0       1       
0          4      7168    5          0       0         0         0         0           20             1              1              1       1       1       0       0       1       
0          1      27      3          0       0         0         0         0           23             1              1              0       0       1       0       0       0       
0          1      2       3          0       0         0         0         0           24             1              1              1       1       0       0       0       0       
0          1      418     3          0       0         0         0         0           25             1              1              0       0       0       0       0       1       
0          4      7178    1          0       0         0         0         0           29             1              1              1       1       1       0       0       1       
0          1      28      30         0       0         0         0         0           33             1              1              0       0       1       0       0       0       
0          1      1       30         0       0         0         0         0           34             1              1              1       1       0       0       0       0       
0          1      419     30         0       0         0         0         0           35             1              1              0       0       0       0       0       1       

//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireGroup   RequireState   DW      DK      FE      MG      DL      SU      
0          1      3       10         0       0         0         0         0           1              18             1              1       1       1       1       1       1       
0          1      7       15         0       0         0         0         0           4              18             1              1       1       0       0       0       0       
0          1      6       15         0       0         0         0         0           5              18             1              0       0       0       1       1       0       
0          1      31      15         0       0         0         0         0           6              18             1              0       0       1       0       0       0       
0          1      419     15         0       0         0         0         0           7              18             1              0       0       0       0       0       1       
0          1      7       20         0       0         0         0         0           10             18             1              1       1       0       0       0       0       
0          1      14      20         0       0         0         0         0           11             18             1              0       0       0       1       1       0       
0          1      32      20         0       0         0         0         0           12             18             1              0       0       1       0       0       0       
0          1      420     20         0       0         0         0         0           13             18             1              0       0       0       0       0       1       
0          1      22      25         0       0         0         0         0           16             18             1              0       0       0       1       1       0       
0          1      24      25         0       0         0         0         0           17             18             1              1       1       1       0       0       1       
0          1      21      30         0       0         0         0         0           20             18             1              0       0       0       1       1       0       
0          1      22      30         0       0         0         0         0           21             18             1              1       1       1       0       0       1       
0          1      19      30         0       0         0         0         0           24             18             1              0       0       0       1       1       0       
0          1      23      30         0       0         0         0         0           25             18             1              1       1       1       0       0       1       
0          1      17      40         0       0         0         0         0           28             18             1              0       0       0       1       1       0       
0          1      12      40         0       0         0         0         0           29             18             1              1       1       1       0       0       1       
0          1      423     50         0       0         0         0         0           32             18             1              0       0       0       1       1       0       
0          1      422     50         0       0         0         0         0           33             18             1              1       1       1       0       0       1       
0          1      5       50         0       0         0         0         0           36             18             1              0       0       0       1       1       0       
0          1      17      50         0       0         0         0         0           37             18             1              1       1       1       0       0       1       
0          1      13      50         0       0         0         0         0           40             18             1              0       0       0       1       1       0       
0          1      15      50         0       0         0         0         0           41             18             1              1       1       1       0       0       1       
0          1      9       50         0       0         0         0         0           44             18             1              0       0       0       1       1       0       
0          1      5       50         0       0         0         0         0           45             18             1              1       1       1       0       0       1       
0          1      8       50         0       0         0         0         0           48             18             1              0       0       0       1       1       0       
0          1      13      50         0       0         0         0         0           49             18             1              1       1       1       0       0       1       
0          1      10      50         0       0         0         0         0           52             18             1              0       0       0       1       1       0       
0          1      9       50         0       0         0         0         0           53             18             1              1       1       1       0       0       1       
