//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14          0      0       1     0       0      0        0	0	0	0	255	255	255	255	255
12          0      0       1     0       0      0        0	0	0	0	255	255	255	255	255
0           0      0       1     0       0      0        0	0	0	0	255	255	255	255	255
0           26     0       0     1       1      1        63	0	0	0	254	254	254	255	255
0           26     10      0     1       1      1        63	0	0	0	254	254	254	255	255
0           32     0       0     1       1      1        0	0	0	0	255	255	255	255	255		
0           33     1       0     1       1      1        0	0	0	0	255	255	255	255	255
0           34     2       0     1       1      1        0	0	0	0	255	255	255	255	255
0           35     2       0     1       1      1        0	0	0	0	255	255	255	255	255
2           18     2       0     1       1      1        0	0	0	0	255	255	255	255	255
3           11     2       0     1       1      1        0	0	0	0	255	255	255	255	255
5           36     2       0     1       1      1        0	0	0	0	255	255	255	255	255
6           21     2       0     1       1      1        0	0	0	0	255	255	255	255	255
7           1      12      0     1       1      1        63	5	2	0	255	255	255	255	255
8           29     12      0     1       1      1        63	0	0	128	255	255	255	255	255
7           0      12      0     1       1      1        63	0	32	0	255	255	255	255	255
end

