//Index   Group   Rank   MinLevel   MaxLevel   MainValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
300       2       1      1          5          400         0              0              0              0
301       2       1      1          5          900         0              300            0              0
302       2       1      1          5          1600        0              301            0              0
303       2       1      1          5          2700        0              302            0              0
304       2       1      1          5          4400        0              303            0              0
305       3       1      1          5          1000        0              0              0              0
306       3       1      1          5          2300        0              305            0              0
307       3       1      1          5          4000        0              306            0              0
308       3       1      1          5          6500        0              307            0              0
309       3       1      1          5          10000       0              308            0              0
310       1       1      1          5          600         0              0              0              0
311       1       1      1          5          1300        0              310            0              0
312       1       1      1          5          2100        0              311            0              0
313       1       1      1          5          3000        0              312            0              0
314       1       1      1          5          4000        0              313            0              0
315       4       1      1          5          20          0              0              0              0
316       4       1      1          5          40          0              315            0              0
317       4       1      1          5          60          0              316            0              0
318       4       1      1          5          80          0              317            0              0
319       4       1      1          5          100         0              318            0              0
320       4       1      1          5          20          0              0              319            0
321       4       1      1          5          40          0              320            0              0
322       4       1      1          5          60          0              321            0              0
323       4       1      1          5          80          0              322            0              0
324       4       1      1          5          100         0              323            0              0
325       1       2      1          5          1           0              0              0              0
326       1       2      1          5          2           0              325            0              0
327       1       2      1          5          3           0              326            0              0
328       1       2      1          5          4           0              327            0              0
329       1       2      2          5          5           0              328            0              0
330       1       2      1          5          1           0              0              329            0
331       1       2      1          5          2           0              330            0              0
332       1       2      1          5          3           0              331            0              0
333       1       2      1          5          4           0              332            0              0
334       1       2      2          5          5           0              333            0              0
335       1       2      1          5          1           0              0              334            0
336       1       2      1          5          2           0              335            0              0
337       1       2      1          5          3           0              336            0              0
338       1       2      1          5          4           0              337            0              0
339       1       2      2          5          5           0              338            0              0
340       4       2      1          5          1           0              0              0              0
341       4       2      1          5          2           0              340            0              0
342       4       2      1          5          3           0              341            0              0
343       4       2      1          5          4           0              342            0              0
344       4       2      2          5          5           0              343            0              0
345       4       2      1          5          40          0              0              0              0
346       4       2      1          5          80          0              345            0              0
347       4       2      1          5          120         0              346            0              0
