00:02:28 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:22:29 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:31:00 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:33:08 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:34:40 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:35:19 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:36:04 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:37:41 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:48:49 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:52:13 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:54:49 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
00:55:57 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:05:24 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:14:19 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:14:41 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:15:27 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:25:21 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:28:31 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:34:10 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:04 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:08 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:12 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:13 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:20 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:21 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:22 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:22 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:23 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:24 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:25 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:44 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:52 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:53 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:35:53 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:40:57 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:37 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:42 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:43 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:45 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:45 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:41:46 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:09 [HackPacketCheck][louismk][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:15 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:17 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:18 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:22 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:48:59 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
01:49:07 [HackPacketCheck][][] Packet serial error (Index: 255, Value: -1, Serial: [0][0])
02:52:08 [HackPacketCheck][louismk][] Packet serial error (Index: 167, Value: -1, Serial: [0][0])
02:52:11 [HackPacketCheck][][] Packet serial error (Index: 243, Value: -1, Serial: [0][0])
02:52:17 [HackPacketCheck][][] Packet serial error (Index: 243, Value: -1, Serial: [0][0])
02:52:28 [HackPacketCheck][][] Packet serial error (Index: 243, Value: -1, Serial: [0][0])
02:52:28 [HackPacketCheck][][] Packet serial error (Index: 243, Value: -1, Serial: [0][0])
