//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
  //WING CONQUEROR
  6344        32002         47            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         24            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         31            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         40            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         8             0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         17            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         46            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         23            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         35            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         39            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         44            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         45            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         12            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         16            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         21            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         22            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         61            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         60            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         59            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         62            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         55            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         52            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         53            0             1.5      0.5       0.5     1.5         0.0         0.0
  6344        32002         54            0             1.5      0.5       0.5     1.5         0.0         0.0
end
