//Index   ColorR   ColorG   ColorB   ModelName
32      70      70     70    "Sword32"
33      70      70     70    "Sword33"
34      70      70     70	 "Sword34"
35      70      70     70    "Sword35"
36      70      70     70    "Sword36"
37      70      70     70    "Sword37"
38      70      70     70    "Sword38"
39      70      70     70    "Sword39"
130     70      70     70	 "Sword130"

1044     70      70     70	"Mace20"
1045     70      70     70 	"Mace21"
1046     70      70     70	"Mace22"


2050    70      70     70   "Bow02"
2082    70      70     70   "Bow34"
2083    70      70     70   "Bow35"
2084    70      70     70   "Bow36"
2085    70      70     70   "Bow37"
2086    70      70     70   "Bow38"
2088    70      70     70   "Bow40"

2596    70      70     70 	"Staff36"
2597    70      70     70 	"Staff37"
2598    70      70     70 	"Staff38"
2599    70      70     70 	"Staff39"
2600    70      70     70   "Staff40"
2601    70      70     70   "Staff41"

3096    70      70     70   "Shield25"
3097    70      70     70   "Shield26"
3098    70      70     70   "Shield27"
3099    70      70     70   "Shield28"
3100    70      70     70   "Shield29"
3148	70      70     70	"Shield76"
3149	70      70     70	"Shield77"
3150	70      70     70	"Shield78"
3151	70      70     70	"Shield79"
3152	70      70     70	"Shield80"

3153	70      70      70	"Shield81"
3154	70      70      70	"Shield82"
3155	70      70      70	"Shield83"
3156	70      70      70	"Shield84"
3157	70      70      70	"Shield85"
3158	70      70      70	"Shield86"
3159	70      70      70  "Shield87"

3174	70      70      70 	"Shield102"

3640 	70      70      70	"HelmMale56"
3641	70      70      70	"HelmMale57"
3642	70      70      70	"HelmMale58"
3643	70      70      70	"HelmMale59"
3644	70      70      70	"HelmMale60"
3645	70      70      70	"HelmMale61"

3646	70      70     70	"HelmMale62"
3647	70      70     70	"HelmMale63"
3648	70      70     70	"HelmMale64"
3649	70      70     70	"HelmMale65"
3650	70      70     70   "HelmMale66"
3651	70      70     70	"HelmMale67"
3652	70      70     70	"HelmMale68"
3714	70      70     70	"rimbroshelm"

4152	70      70      70	"ArmorMale56"
4153	70      70      70	"ArmorMale57"
4154	70      70      70	"ArmorMale58"
4155	70      70      70	"ArmorMale59"
4156	70      70      70	"ArmorMale60"
4157	70      70      70	"ArmorMale61"
4226	70      70      70	"rimbrosarmor"

4158	70      70     70	"ArmorMale62"
