//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
0         6344        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing200"
1         6345        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing201"
2         6346        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing202"
3         6347        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing203"
4         6348        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing204"
5         6349        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing205"
6         6350        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing206"
7         6351        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing207"
8         6352        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing208"
9         6353        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing209"
10        6354        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing210"
11        6355        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing211"
12        6356        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing212"
13        6357        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing213"
14        6358        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing214"
15        6359        4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          "Wing215"
end
