path,container,payload,mode,width,height,alpha_min_max,transparent_pixels,partial_alpha_pixels,opaque_pixels,container_sha256,payload_sha256
src/bin/Data/Interface/BalgasBarrack.OZT,.OZT,original/Interface/BalgasBarrack.tga,RGBA,166,90,"[0, 255]",7661,1875,5404,f53fe421cac2fef6405de1e2ad54ac97b981fed01a5721d9a5f692ac56d9e77e,55da818349eedfbe94016c9567b1fbbd2dd394e8d3ec51bf470a05674b1c0e31
src/bin/Data/Interface/BalgasRefuge.OZT,.OZT,original/Interface/BalgasRefuge.tga,RGBA,166,90,"[0, 255]",7410,2020,5510,2913925f48875628701b7006b6a52d1e9b919a356f88681b691713016c4b9e9d,526d01d9e438892710a4277fdb98ced3c7197f5c74c6e0e14f104ceadcc9d71c
src/bin/Data/Interface/BattleSkill.OZT,.OZT,original/Interface/BattleSkill.tga,RGBA,128,32,"[0, 255]",7,26,4063,224cf0a8d573c6bcb8d1e4a0c05b2c5a29a92bebd956cc947a7489182e60809f,ba2f9146292bd3f6b64d710e82c4c06e14241e99d9e19d52dbabda17b7b220c9
src/bin/Data/Interface/Cursor.ozt,.ozt,original/Interface/Cursor.tga,RGBA,32,32,"[0, 255]",394,212,418,fa263b817af88071d88a24c279c98d12bfa14b3abb18a450c407904d4edad630,02c2ae290368873e24c22eaf3d3d4f18474c028e89735db7b19bfeeaac718ae9
src/bin/Data/Interface/CursorAddIn.OZT,.OZT,original/Interface/CursorAddIn.tga,RGBA,32,32,"[0, 255]",533,88,403,b2f66a2d005f00aaee922f9fb7ff409e6259a88a780c6dd5a73f8a724e9d611a,9d5ca047e07f02774e77f59d049b23b0a84dfa5458c6b868cbcadabc9a44b1af
src/bin/Data/Interface/CursorAttack.ozt,.ozt,original/Interface/CursorAttack.tga,RGBA,32,32,"[0, 255]",360,276,388,abb0720a0b1ac63c74620a38ec189f9299e302a52c940b3b519f7c74891a6edb,e33d533f66e80565a2cd10b66a844081fbec73c822e5aa7d4199cb43fb5fa67a
src/bin/Data/Interface/CursorAttack2.OZT,.OZT,original/Interface/CursorAttack2.tga,RGBA,32,32,"[0, 255]",523,98,403,4e2507eed6577a10f915beb1691ad64a45b6b4ae0f7823b3519c9eb4973816f5,eef259ed9b86f6ee6c8e14fdf261201185214fd6606117c29b17a2f04bebd54c
src/bin/Data/Interface/CursorDontMove.OZT,.OZT,original/Interface/CursorDontMove.tga,RGBA,32,32,"[0, 255]",478,271,275,6408e3b15a26d4597f5273c352bd32b74d6f8500b016f545c5e235cf5745221b,13bc96aaa9bc3847fb36d12d6bde44d07d63279167aacc57516c2ed1d4817b18
src/bin/Data/Interface/CursorEye.ozt,.ozt,original/Interface/CursorEye.tga,RGBA,64,64,"[0, 255]",2350,301,1445,5edabe747d693f2b04e6d267dbbb27f731513ef70b1147c11fa29825bf6bca7e,cebec2d0787ac87d37d6b4840d8c3f36e483828fa24dcb6aac40a941891136e8
src/bin/Data/Interface/CursorGet.ozt,.ozt,original/Interface/CursorGet.tga,RGBA,32,32,"[0, 255]",376,276,372,d73e18d548dad9eb7b88f5929c979c2ae9d9142dfd6b9a8bdbeb6a4fb756ad3f,80a8a4be1909db0f765a528ed2d2095f0e35c0dc3546e90166a2d50186da5be7
