Cannon01 {'minimum_uv_triangle_area': 2.0569529999998977e-06, 'minimum_geometry_triangle_area': 3.2840185122129797, 'minimum_winding_normal_dot': 0.7147413333333333, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 297, 'max_position_difference': 4.863281262146302e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Cannon02 {'minimum_uv_triangle_area': 2.0569529999998977e-06, 'minimum_geometry_triangle_area': 3.2840185122129797, 'minimum_winding_normal_dot': 0.7132596666666666, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 219, 'max_position_difference': 4.892578111537205e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Cannon03 {'minimum_uv_triangle_area': 2.0569529999998977e-06, 'minimum_geometry_triangle_area': 3.284018512212984, 'minimum_winding_normal_dot': 0.7714841755252588, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 141, 'max_position_difference': 4.2333984140441316e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Hanging01 {'minimum_uv_triangle_area': 0.0, 'minimum_geometry_triangle_area': 0.012470835096624503, 'minimum_winding_normal_dot': 0.9999569591901477, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 16, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 486, 'max_position_difference': 3.05996093743488e-05, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Carriage01 {'minimum_uv_triangle_area': 2.0223899999999825e-05, 'minimum_geometry_triangle_area': 7.651915550711674, 'minimum_winding_normal_dot': 0.846243932704969, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 1416, 'max_position_difference': 4.98535158044433e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Carriage02 {'minimum_uv_triangle_area': 0.00012374100000000007, 'minimum_geometry_triangle_area': 7.651889153337774, 'minimum_winding_normal_dot': 0.8469399961132488, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 1350, 'max_position_difference': 4.99511713769607e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Carriage03 {'minimum_uv_triangle_area': 0.00012374100000000007, 'minimum_geometry_triangle_area': 7.651915783780475, 'minimum_winding_normal_dot': 0.8468816993510215, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 1614, 'max_position_difference': 4.946289067220278e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Carriage04 {'minimum_uv_triangle_area': 0.00012374100000000007, 'minimum_geometry_triangle_area': 7.651915783780475, 'minimum_winding_normal_dot': 0.7469897225303009, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 0, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 2646, 'max_position_difference': 4.999999987376214e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
HouseEtc02 {'minimum_uv_triangle_area': 0.0, 'minimum_geometry_triangle_area': 64.93220222749886, 'minimum_winding_normal_dot': 0.9495915195466115, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 4, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 750, 'max_position_difference': 4.995117208750344e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
StoneMuWall04 {'minimum_uv_triangle_area': 0.0, 'minimum_geometry_triangle_area': 3.283910332948405, 'minimum_winding_normal_dot': 0.6155687205201633, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 14, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 951, 'max_position_difference': 4.995117208750344e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
StoneWall03 {'minimum_uv_triangle_area': 0.0, 'minimum_geometry_triangle_area': 3.2839103329483894, 'minimum_winding_normal_dot': 0.615582535814143, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 14, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 999, 'max_position_difference': 4.990234288015927e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
Well01 {'minimum_uv_triangle_area': 0.0, 'minimum_geometry_triangle_area': 6.880868631267018, 'minimum_winding_normal_dot': 0.35650225718172984, 'zero_area_triangles': 0, 'collapsed_uv_triangles': 24, 'winding_disagreements': 0} {'status': 'PASS', 'original_retained_corners': 2745, 'max_position_difference': 4.995117208750344e-07, 'UV_tolerance': 2e-06, 'purpose': 'All retained timber contacts, steps, noose and compatibility surfaces keep their positions, UVs and intended bones'}
